id,created_by,created_date,last_modified_by,last_modified_date,amount,error_description,status,type,harvest_year,harvest_id,distribution_origin_id,private_ucs_amount,public_ucs_amount
5306,1,2017-11-06 00:00:00,,,44213,,FINISHED,REPARTITION_HARVEST,2010,,,44213,0
5307,1,2017-11-06 00:00:00,,,20010,,FINISHED,REPARTITION_HARVEST,2010,,,20010,0
5308,1,2017-11-06 00:00:00,,,61821,,FINISHED,REPARTITION_HARVEST,2010,,,61821,0
5309,1,2017-11-06 00:00:00,,,1501,,FINISHED,REPARTITION_HARVEST,2010,,,1501,0
5310,1,2017-11-06 00:00:00,,,21419,,FINISHED,REPARTITION_HARVEST,2010,,,21419,0
5311,1,2017-11-06 00:00:00,,,3318,,FINISHED,REPARTITION_HARVEST,2010,,,3318,0
5312,1,2017-11-06 00:00:00,,,186,,FINISHED,REPARTITION_HARVEST,2010,,,186,0
5313,1,2017-11-06 00:00:00,,,5764,,FINISHED,REPARTITION_HARVEST,2010,,,5764,0
5314,1,2017-11-06 00:00:00,,,805,,FINISHED,REPARTITION_HARVEST,2010,,,805,0
5315,1,2017-11-06 00:00:00,,,785,,FINISHED,REPARTITION_HARVEST,2010,,,785,0
5316,1,2017-11-06 00:00:00,,,1318,,FINISHED,REPARTITION_HARVEST,2010,,,1318,0
5317,1,2017-11-06 00:00:00,,,62980,,FINISHED,REPARTITION_HARVEST,2010,,,62980,0
5318,1,2017-11-06 00:00:00,,,58909,,FINISHED,REPARTITION_HARVEST,2010,,,58909,0
5319,1,2017-11-06 00:00:00,,,998,,FINISHED,REPARTITION_HARVEST,2010,,,998,0
5320,1,2017-11-06 00:00:00,,,227,,FINISHED,REPARTITION_HARVEST,2010,,,227,0
5321,1,2017-11-06 00:00:00,,,1429,,FINISHED,REPARTITION_HARVEST,2010,,,1429,0
5322,1,2017-11-06 00:00:00,,,875,,FINISHED,REPARTITION_HARVEST,2010,,,875,0
5323,1,2017-11-06 00:00:00,,,341,,FINISHED,REPARTITION_HARVEST,2010,,,341,0
5324,1,2017-11-06 00:00:00,,,62,,FINISHED,REPARTITION_HARVEST,2010,,,62,0
5325,1,2017-11-06 00:00:00,,,116,,FINISHED,REPARTITION_HARVEST,2010,,,116,0
5326,1,2017-11-06 00:00:00,,,216,,FINISHED,REPARTITION_HARVEST,2010,,,216,0
5327,1,2017-11-06 00:00:00,,,71,,FINISHED,REPARTITION_HARVEST,2010,,,71,0
5328,1,2017-11-06 00:00:00,,,10597,,FINISHED,REPARTITION_HARVEST,2010,,,10597,0
5329,1,2017-11-06 00:00:00,,,6285,,FINISHED,REPARTITION_HARVEST,2010,,,6285,0
5330,1,2017-11-06 00:00:00,,,15643,,FINISHED,REPARTITION_HARVEST,2010,,,15643,0
5331,1,2017-11-06 00:00:00,,,19977,,FINISHED,REPARTITION_HARVEST,2010,,,19977,0
5332,1,2017-11-06 00:00:00,,,12942,,FINISHED,REPARTITION_HARVEST,2010,,,12942,0
5333,1,2017-11-06 00:00:00,,,5785,,FINISHED,REPARTITION_HARVEST,2010,,,5785,0
5334,1,2017-11-06 00:00:00,,,18506,,FINISHED,REPARTITION_HARVEST,2010,,,18506,0
5335,1,2017-11-06 00:00:00,,,827,,FINISHED,REPARTITION_HARVEST,2010,,,827,0
5336,1,2017-11-06 00:00:00,,,435,,FINISHED,REPARTITION_HARVEST,2010,,,435,0
5337,1,2017-11-06 00:00:00,,,7327,,FINISHED,REPARTITION_HARVEST,2010,,,7327,0
5338,1,2017-11-06 00:00:00,,,774,,FINISHED,REPARTITION_HARVEST,2010,,,774,0
5339,1,2017-11-06 00:00:00,,,251,,FINISHED,REPARTITION_HARVEST,2010,,,251,0
5340,1,2017-11-06 00:00:00,,,370,,FINISHED,REPARTITION_HARVEST,2010,,,370,0
5341,1,2017-11-06 00:00:00,,,2321,,FINISHED,REPARTITION_HARVEST,2010,,,2321,0
5342,1,2017-11-06 00:00:00,,,13120,,FINISHED,REPARTITION_HARVEST,2010,,,13120,0
5343,1,2017-11-06 00:00:00,,,17059,,FINISHED,REPARTITION_HARVEST,2010,,,17059,0
5344,1,2017-11-06 00:00:00,,,5403,,FINISHED,REPARTITION_HARVEST,2010,,,5403,0
5345,1,2017-11-06 00:00:00,,,5827,,FINISHED,REPARTITION_HARVEST,2010,,,5827,0
5346,1,2017-11-06 00:00:00,,,433,,FINISHED,REPARTITION_HARVEST,2010,,,433,0
5347,1,2017-11-06 00:00:00,,,376,,FINISHED,REPARTITION_HARVEST,2010,,,376,0
5348,1,2017-11-06 00:00:00,,,548,,FINISHED,REPARTITION_HARVEST,2010,,,548,0
5349,1,2017-11-06 00:00:00,,,611,,FINISHED,REPARTITION_HARVEST,2010,,,611,0
5350,1,2017-11-06 00:00:00,,,1544,,FINISHED,REPARTITION_HARVEST,2010,,,1544,0
5351,1,2017-11-06 00:00:00,,,745,,FINISHED,REPARTITION_HARVEST,2010,,,745,0
5352,1,2017-11-06 00:00:00,,,7238,,FINISHED,REPARTITION_HARVEST,2010,,,7238,0
5353,1,2017-11-06 00:00:00,,,1476,,FINISHED,REPARTITION_HARVEST,2010,,,1476,0
5354,1,2017-11-06 00:00:00,,,3456,,FINISHED,REPARTITION_HARVEST,2010,,,3456,0
5355,1,2017-11-06 00:00:00,,,6229,,FINISHED,REPARTITION_HARVEST,2010,,,6229,0
5356,1,2017-11-06 00:00:00,,,8957,,FINISHED,REPARTITION_HARVEST,2010,,,8957,0
5357,1,2017-11-06 00:00:00,,,8002,,FINISHED,REPARTITION_HARVEST,2010,,,8002,0
5358,1,2017-11-06 00:00:00,,,7088,,FINISHED,REPARTITION_HARVEST,2010,,,7088,0
5359,1,2017-11-06 00:00:00,,,1416,,FINISHED,REPARTITION_HARVEST,2010,,,1416,0
5360,1,2017-11-06 00:00:00,,,574,,FINISHED,REPARTITION_HARVEST,2010,,,574,0
