id,method,path,microservice,created_by,created_date,last_modified_by,last_modified_date
7325,DELETE,/v1/living-carbon/certificate-orders/{orderId:\\d+}/documentation/{fileId},akses,,,,
7326,POST,/v1/living-carbon/certificate-orders/{orderId:\\d+}/documentation/{fileId},akses,,,,
7327,GET,/v1/living-carbon/certificate-orders/{orderId:\\d+}/badge,akses,,,,
7328,POST,/v1/living-carbon/certificate-orders/{orderId:\\d+}/credit-card,akses,,,,
7329,POST,/v1/living-carbon/certificate-orders/{orderId:\\d+}/billet,akses,,,,
7330,DELETE,/v1/living-carbon/certificate-orders/{orderId:\\d+}/promo-code/remove,akses,,,,
7331,POST,/v1/living-carbon/certificate-orders/{orderId:\\d+}/promo-code/apply,akses,,,,
7332,GET,/v1/living-carbon/certificate-orders/me,akses,,,,
7333,GET,/v1/living-carbon/has-master,akses,,,,
7334,GET,/v1/living-carbon/masters,akses,,,,
7335,GET,/v1/living-carbon/units,akses,,,,
7336,PUT,/v1/living-carbon/users,akses,,,,
7337,PUT,/v1/transfer-order,akses,,,,
7338,POST,/v1/transfer-order/{transferOrderId:\\d+}/credit-card,akses,,,,
7339,POST,/v1/transfer-order/{transferOrderId:\\d+}/billet,akses,,,,
7340,GET,/v1/transfer-order/users,akses,,,,
7341,GET,/v1/transfer-order/me,akses,,,,
7342,DELETE,/v1/transfer-order/{transferOrderId:\\d+}/promo-code/remove,akses,,,,
7343,POST,/v1/transfer-order/{transferOrderId:\\d+}/promo-code/apply,akses,,,,
7344,PUT,/v1/sale-order,akses,,,,
7345,DELETE,/v1/sale-order/{saleOrderId:\\d+}/promo-code/remove,akses,,,,
7346,POST,/v1/sale-order/{saleOrderId:\\d+}/promo-code/apply,akses,,,,
7347,POST,/v1/sale-order/{saleOrderId:\\d+}/credit-card,akses,,,,
7348,POST,/v1/sale-order/{saleOrderId:\\d+}/billet,akses,,,,
7349,GET,/v1/sale-order/me,akses,,,,
7350,PUT,/v1/purchase-order,akses,,,,
7351,POST,/v1/purchase-order/{purchaseOrderId:\\d+}/credit-card,akses,,,,
7352,POST,/v1/purchase-order/{purchaseOrderId:\\d+}/billet,akses,,,,
7353,GET,/v1/purchase-order/me,akses,,,,
7354,DELETE,/v1/purchase-order/{purchaseOrderId:\\d+}/promo-code/remove,akses,,,,
7355,POST,/v1/purchase-order/{purchaseOrderId:\\d+}/promo-code/apply,akses,,,,
7356,GET,/v1/advanced-payments,akses,,,,
7357,PUT,/v1/certificate-distributor-order/credentialed,akses,,,,
7358,GET,/v1/certificate-distributor-order/credentialed/me,akses,,,,
7359,GET,/v1/certificate-distributor-order/credentialed/{orderId:\\d+}/badge,akses,,,,
7360,PUT,/v1/certificate-distributor-order/financial,akses,,,,
7361,POST,/v1/certificate-distributor-order/financial/participants/preview/csv,akses,,,,
7362,GET,/v1/certificate-distributor-order/financial/me,akses,,,,
7363,PUT,/v1/certificate-distributor-order/general,akses,,,,
7364,GET,/v1/certificate-distributor-order/general/me,akses,,,,
7365,GET,/v1/certificate-distributor-order/{certificateDistributorOrderId:\\d+},akses,,,,
7366,POST,/v1/certificate-distributor-order/{certificateDistributorOrderId:\\d+}/credit-card,akses,,,,
7367,POST,/v1/certificate-distributor-order/{certificateDistributorOrderId:\\d+}/billet,akses,,,,
7368,DELETE,/v1/certificate-distributor-order/{certificateDistributorOrderId:\\d+}/promo-code/remove,akses,,,,
7369,POST,/v1/certificate-distributor-order/{certificateDistributorOrderId:\\d+}/promo-code/apply,akses,,,,
7370,GET,/v1/digital-collection,akses,,,,
7371,GET,/v1/digital-collection/{fileId}/download,akses,,,,
7372,PUT,/v1/certificate-order,akses,,,,
7373,POST,/v1/certificate-order/{certificateOrderId:\\d+}/credit-card,akses,,,,
7374,POST,/v1/certificate-order/{certificateOrderId:\\d+}/billet,akses,,,,
7375,GET,/v1/certificate-order/me,akses,,,,
7376,GET,/v1/certificate-order/{certificateOrderId:\\d+}/promo-code/remove,akses,,,,
7377,GET,/v1/certificate-order/{certificateOrderId:\\d+}/promo-code/apply,akses,,,,
7378,GET,/v1/calculate-fee,akses,,,,
7379,GET,/v1/account/certificates,akses,,,,
7380,GET,/v1/account/certificates/stats,akses,,,,
7381,GET,/v1/account/statement,akses,,,,
7382,GET,/v1/account/statement/last-months,akses,,,,
7383,GET,/v1/account/statement/summary,akses,,,,
7384,GET,/v1/account/receivables,akses,,,,
7385,GET,/v1/account/balance-ucs,akses,,,,
7386,GET,/v1/account/order-stats,akses,,,,
7387,GET,/v1/account/certificate/stats,akses,,,,
7388,GET,/v1/account/order-summary,akses,,,,
7389,GET,/v1/p/burned-token-certificate/{code},akses,,,,
7390,GET,/v1/p/living-carbon-certificate/{code},akses,,,,
7391,GET,/v1/p/certificate-producer/{code},akses,,,,
7392,GET,/v1/p/certificate-distributor-credentialed/{code},akses,,,,
7393,GET,/v1/p/certificate-distributor-general/{code},akses,,,,
7394,GET,/v1/p/certificate-distributor-financial/{code},akses,,,,
7395,GET,/v1/p/client-certificate/{code},akses,,,,
7396,POST,/v1/p/webhook/billet,akses,,,,
7397,POST,/v1/p/compensation-indexes/types/ucs/calculate,akses,,,,
7398,GET,/v1/p/stock-availability-certificate/{code},akses,,,,
7399,GET,/v1/p/logos/{id},akses,,,,
7400,GET,/v1/movement-intention-order,akses,,,,
7401,POST,/v1/movement-intention-order,akses,,,,
7402,GET,/v1/movement-intention-order/{movementIntentionId:\\d+},akses,,,,
7403,GET,/v1/users,backoffice,,,,
7404,GET,/v1/users/{userId:\\d+}/roles,backoffice,,,,
7405,PATCH,/v1/users/{userId:\\d+}/roles/{role}/grant,backoffice,,,,
7406,PATCH,/v1/users/{userId:\\d+}/status,backoffice,,,,
7407,GET,/v1/users/stats,backoffice,,,,
7408,PUT,/v1/ucs/quote,backoffice,,,,
7409,GET,/v1/p/ucs/quote,backoffice,,,,
7410,GET,/v1/p/ucs/quote/current,backoffice,,,,
7411,POST,/v1/ucs/quote/upload/csv,backoffice,,,,
7412,GET,/v1/ucs/quote/months/year/{year:\\d+},backoffice,,,,
7413,GET,/v1/transfer-orders,backoffice,,,,
7414,PATCH,/v1/transfer-orders/status,backoffice,,,,
7415,GET,/v1/transfer-orders/status/info,backoffice,,,,
7416,GET,/v1/transfer-orders/{transferOrderId:\\d+},backoffice,,,,
7417,PATCH,/v1/transfer-orders/discounts,backoffice,,,,
7418,DELETE,/v1/transfer-orders/discounts,backoffice,,,,
7419,GET,/v1/transactions/statement,backoffice,,,,
7420,GET,/v1/system-config,backoffice,,,,
7421,POST,/v1/system-config,backoffice,,,,
7422,GET,/v1/supply/platforms,backoffice,,,,
7423,PUT,/v1/supply/platforms,backoffice,,,,
7424,GET,/v1/supply/platforms/distribution-configuration,backoffice,,,,
7425,GET,/v1/supply/platforms/distribution-configuration/{distributionConfigurationId:\\d+}/suggest/year/{year:\\d+}/amount/{amount:\\d+},backoffice,,,,
7426,GET,/v1/supply/platforms/distribution-configuration/{distributionConfigurationId:\\d+}/balance/{year:\\d+},backoffice,,,,
7427,GET,/v1/stock-stats/years/{year:\\d+}/platforms/{platform:\\d+}/profiles,backoffice,,,,
7428,GET,/v1/stock-stats/platforms/balance,backoffice,,,,
7429,GET,/v1/stock-stats/years/{year:\\d+}/balance/total,backoffice,,,,
7430,GET,/v1/stock-stats/transactions/last,backoffice,,,,
7431,GET,/v1/stats/ucs/retired-per-month,backoffice,,,,
7432,GET,/v1/stats/users/new-per-month,backoffice,,,,
7433,GET,/v1/stats/ucs,backoffice,,,,
7434,GET,/v1/stats/pending-orders,backoffice,,,,
7435,GET,/v1/stats/users/top-retired,backoffice,,,,
7436,GET,/v1/stats/count-users,backoffice,,,,
7437,GET,/v1/stats/last-users,backoffice,,,,
7438,GET,/v1/stats/last-orders,backoffice,,,,
7439,GET,/v1/stats/ucs-quote,backoffice,,,,
7440,GET,/v1/sale-orders,backoffice,,,,
7441,PATCH,/v1/sale-orders/status,backoffice,,,,
7442,GET,/v1/sale-orders/status/info,backoffice,,,,
7443,GET,/v1/sale-orders/{saleOrderId:\\d+},backoffice,,,,
7444,PATCH,/v1/sale-orders/discounts,backoffice,,,,
7445,DELETE,/v1/sale-orders/discounts,backoffice,,,,
7446,GET,/v1/reports/users,backoffice,,,,
7447,GET,/v1/purchase-orders,backoffice,,,,
7448,PATCH,/v1/purchase-orders/discounts,backoffice,,,,
7449,DELETE,/v1/purchase-orders/discounts,backoffice,,,,
7450,PATCH,/v1/purchase-orders/status,backoffice,,,,
7451,GET,/v1/purchase-orders/status/info,backoffice,,,,
7452,GET,/v1/projects,backoffice,,,,
7453,PATCH,/v1/projects,backoffice,,,,
7454,GET,/v1/documentations/years/{year:\\d+}/projects,backoffice,,,,
7455,GET,/v1/documentations/years/{year:\\d+}/projects/{projectId:\\d+}/folders,backoffice,,,,
7456,POST,/v1/documentations/years/{year:\\d+}/projects/{projectId:\\d+}/file/{fileId}/edit,backoffice,,,,
7457,GET,/v1/documentations/years/{year:\\d+}/projects/{projectId:\\d+}/file/{fileId}/download,backoffice,,,,
7458,POST,/v1/documentations/years/{year:\\d+}/projects/{projectId:\\d+}/type-documentation/{typeDocumentationId:\\d+}/file/upload,backoffice,,,,
7459,PATCH,/v1/documentations/years/{year:\\d+}/projects/{projectId:\\d+}/evaluate/pin/{pin},backoffice,,,,
7460,PATCH,/v1/documentations/years/{year:\\d+}/projects/{projectId:\\d+}/evaluate/notify,backoffice,,,,
7461,PUT,/v1/documentations/projects/folder,backoffice,,,,
7462,PUT,/v1/documentations/projects/folder/{folderDocumentationId:\\d+},backoffice,,,,
7463,PATCH,/v1/documentations/projects/folder/{folderDocumentationId:\\d+}/type-documentation/bind,backoffice,,,,
7464,GET,/v1/documentations/projects/folders,backoffice,,,,
7465,GET,/v1/documentations/projects/folders/types,backoffice,,,,
7466,GET,/v1/documentations/projects/types,backoffice,,,,
7467,PUT,/v1/documentations/projects/type,backoffice,,,,
7643,GET,/v1/documentations/areas/folders,backoffice,,,,
7468,GET,/v1/documentations/projects/type/documentation/abbreviation-available,backoffice,,,,
7469,GET,/v1/projects/{projectId:\\d+},backoffice,,,,
7470,PATCH,/v1/projects/{projectId:\\d+},backoffice,,,,
7471,GET,/v1/projects/{projectId:\\d+}/gallery/files,backoffice,,,,
7472,DELETE,/v1/projects/{projectId:\\d+}/gallery/files/{fileId},backoffice,,,,
7473,PATCH,/v1/projects/{projectId:\\d+}/gallery/files/{fileId}/principal,backoffice,,,,
7474,POST,/v1/projects/{projectId:\\d+}/gallery/files/upload,backoffice,,,,
7475,GET,/v1/p/projects/{projectId:\\d+}/gallery/files/download/{uuid},backoffice,,,,
7476,PATCH,/v1/projects/{projectId:\\d+}/gallery/files/sort,backoffice,,,,
7477,GET,/v1/projects/name-available,backoffice,,,,
7478,GET,/v1/permissions,backoffice,,,,
7479,GET,/v1/permissions/{id:\\d+},backoffice,,,,
7480,PATCH,/v1/permissions/users,backoffice,,,,
7481,DELETE,/v1/permissions/users,backoffice,,,,
7482,PATCH,/v1/permissions/users/enabled,backoffice,,,,
7483,PATCH,/v1/permissions/roles,backoffice,,,,
7484,DELETE,/v1/permissions/roles,backoffice,,,,
7485,PATCH,/v1/permissions/roles/enabled,backoffice,,,,
7486,GET,/v1/permissions/users,backoffice,,,,
7487,POST,/v1/permissions/upload,backoffice,,,,
7488,GET,/v1/permissions/roles/{role},backoffice,,,,
7489,GET,/v1/permissions/roles/{role}/permissions,backoffice,,,,
7490,GET,/v1/permissions/users/{userId:\\d+},backoffice,,,,
7491,GET,/v1/permissions/users/{userId:\\d+}/permissions,backoffice,,,,
7492,GET,/v1/account-adjustments,backoffice,,,,
7493,PUT,/v1/account-adjustments,backoffice,,,,
7494,GET,/v1/account-adjustments/users,backoffice,,,,
7495,PATCH,/v1/account-adjustments/status,backoffice,,,,
7496,GET,/v1/account-adjustments/status/info,backoffice,,,,
7497,GET,/v1/ownership-transfer-orders,backoffice,,,,
7498,PUT,/v1/ownership-transfer-orders,backoffice,,,,
7499,GET,/v1/ownership-transfer-orders/{id:\\d+},backoffice,,,,
7500,PATCH,/v1/ownership-transfer-orders/{id:\\d+}/nxt,backoffice,,,,
7501,PATCH,/v1/ownership-transfer-orders/nxt/synchronize,backoffice,,,,
7502,GET,/v1/ownership-transfer-orders/types/active,backoffice,,,,
7503,GET,/v1/ownership-transfer-orders/partners,backoffice,,,,
7504,GET,/v1/ownership-transfer-orders/imei/info,backoffice,,,,
7505,PATCH,/v1/ownership-transfer-orders/status,backoffice,,,,
7506,GET,/v1/ownership-transfer-orders/status/info,backoffice,,,,
7507,GET,/v1/ownership-transfer-orders/types,backoffice,,,,
