id,distribution_id,dare_code,royalties_code,royalties_total,dare_total,created_by,created_date,last_modified_by,last_modified_date,royalties_file_id,dare_file_id
308,37113,3003683436,,0.00,141.91,0,2023-07-27 07:48:15.486492,0,2023-07-27 07:48:15.486492,,3c6e17e0-e658-454a-b38b-f98ec0a679a5
307,37112,,3003683475,0.07,0.00,0,2023-07-26 17:50:10.466664,0,2023-07-26 17:50:10.466664,105070ea-9803-427a-a0ab-0349163ccf93,
344,37382,,,1.29,2438.10,0,2023-10-06 14:19:17.30672,0,2023-10-06 14:19:17.30672,,
345,37383,,,3.05,6095.25,0,2023-10-06 14:24:12.453238,0,2023-10-06 14:24:12.453238,,
347,37414,,,0.80,1607.64,0,2023-10-27 16:47:29.010988,0,2023-10-27 16:47:29.010988,,
395,37940,19112024,19112024,1.24,2325.30,0,2024-10-21 17:48:23.716958,0,2024-10-21 17:48:23.716958,7071882b-8801-4923-9c93-90b7bf621354,2ef4e651-9149-4fd0-b032-eb49077a4ce5
339,37354,3003728256,,0.00,135.45,0,2023-09-27 15:19:41.87651,0,2023-09-27 15:19:41.87651,,58c0c80f-fffe-43ed-8b25-9249b955635e
391,37935,3004537162,3004537174,1.37,2732.92,0,2024-10-15 17:01:21.498705,0,2024-10-15 17:01:21.498705,ddaa89bf-9626-4fc9-a799-553a123f0dc1,7d6e2216-34da-4762-bb28-6a999f2f7502
388,37903,3003992483,3003992485,0.23,310.04,0,2024-09-30 15:43:41.382303,0,2024-09-30 15:43:41.382303,41888ff7-22d3-4df7-b69d-51df331c3c14,875bc1df-ed11-4d04-b830-2c5438425160
377,37628,3003926462,3003926467,1.86,3865.59,0,2024-06-06 16:11:41.430267,0,2024-06-06 16:11:41.430267,b570995c-3685-4158-af17-27bb48899b64,b1d031d7-0932-4303-ba96-85a102fceda8
385,37879,3003971162,,0.00,162.61,0,2024-08-27 15:15:45.955802,0,2024-08-27 15:15:45.955802,,84b3d2f9-4621-444c-a378-250ffc5fd38d
370,37560,,3004547710,0.07,0.00,0,2024-04-01 11:15:45.907115,0,2024-04-01 11:15:45.907115,fcf4697c-7074-4843-86c9-20e9223a7b34,
379,37632,3003926460,,0.00,143.17,0,2024-06-07 10:58:15.954117,0,2024-06-07 10:58:15.954117,,f717639c-d913-46a9-81f2-aa4454e0f2c7
378,37629,3003926463,3003926467,1.79,3436.08,0,2024-06-06 16:12:11.355572,0,2024-06-06 16:12:11.355572,b570995c-3685-4158-af17-27bb48899b64,bd1646e6-eb8c-4621-85aa-f8484df06797
363,37462,3003872053,3003872057,0.07,130.26,0,2023-12-06 16:28:12.977394,0,2023-12-06 16:28:12.977394,cf69a250-2ff1-4c6a-a5cf-8da2ff00a35c,7f033107-ca30-4b14-a26e-1d2c9f2be8b6
394,37938,19112024,19112024,0.08,310.04,0,2024-10-17 17:19:56.193389,0,2024-10-17 17:19:56.193389,7071882b-8801-4923-9c93-90b7bf621354,5c525bb5-8604-41a1-a681-fe1d173dbf16
326,37245,06102023,05102023,0.07,270.90,0,2023-09-15 11:01:41.054262,0,2023-09-15 11:01:41.054262,53bd53f4-6511-4f60-be9b-869cfde6d214,6838fa04-54a4-4a05-81ae-eb79b725ad66
321,37239,06102023,05102023,0.34,677.25,0,2023-09-15 08:48:01.039591,0,2023-09-15 08:48:01.039591,53bd53f4-6511-4f60-be9b-869cfde6d214,525f06b6-645e-407f-9793-3dfe85f5db8a
317,37231,06102023,05102023,0.20,270.90,0,2023-09-14 16:54:36.0452,0,2023-09-14 16:54:36.0452,53bd53f4-6511-4f60-be9b-869cfde6d214,6f4b5696-30bb-4e96-aaca-0c8e559efc6a
327,37246,06102023,05102023,3.86,7585.20,0,2023-09-15 11:02:01.523244,0,2023-09-15 11:02:01.523244,53bd53f4-6511-4f60-be9b-869cfde6d214,3da3eef8-9815-489b-a902-4e4ef6bdb5c6
322,37240,06102023,05102023,0.27,541.80,0,2023-09-15 08:48:26.09558,0,2023-09-15 08:48:26.09558,53bd53f4-6511-4f60-be9b-869cfde6d214,8b60fdcd-3f0a-4588-bfbd-beb4cd911c14
330,37344,06102023,05102023,0.34,677.25,0,2023-09-27 11:48:47.140755,0,2023-09-27 11:48:47.140755,53bd53f4-6511-4f60-be9b-869cfde6d214,8c20a89e-c4df-47fa-83c7-012f168e0f3e
319,37233,06102023,05102023,0.07,135.45,0,2023-09-14 16:55:26.011036,0,2023-09-14 16:55:26.011036,53bd53f4-6511-4f60-be9b-869cfde6d214,020105d5-9787-4fb0-872c-aac4ad5004e9
324,37242,06102023,05102023,0.34,812.70,0,2023-09-15 08:49:35.99746,0,2023-09-15 08:49:35.99746,53bd53f4-6511-4f60-be9b-869cfde6d214,ea77e93e-0948-4154-8986-60ffa5297d08
325,37243,06102024,05102023,0.07,135.45,0,2023-09-15 08:49:55.936465,0,2023-09-15 08:49:55.936465,53bd53f4-6511-4f60-be9b-869cfde6d214,f516061b-4a48-4e49-aa4a-a50d1eaa1c82
331,37345,06102023,05102023,0.20,541.80,0,2023-09-27 11:49:07.063984,0,2023-09-27 11:49:07.063984,53bd53f4-6511-4f60-be9b-869cfde6d214,8d5129b3-6735-49a8-841e-57ed58c9d376
320,37238,05102023,05102023,0.07,270.90,0,2023-09-15 08:47:36.043322,0,2023-09-15 08:47:36.043322,53bd53f4-6511-4f60-be9b-869cfde6d214,f671a957-d8cc-44f9-afea-55c795de0b69
396,37948,19112024,19112024,0.32,643.04,0,2024-10-29 09:52:08.498089,0,2024-10-29 09:52:08.498089,7071882b-8801-4923-9c93-90b7bf621354,3c702ff9-08e7-4ea6-86b3-08679019bfb9
383,37838,07082024,07082024,0.07,132.90,0,2024-07-15 15:04:06.24193,0,2024-07-15 15:04:06.24193,057eca6a-d0d7-4f1b-9cba-9e2526adc294,20818572-4836-493c-87e2-126f7cd2c551
393,37937,3004537162,,0.00,160.76,0,2024-10-17 10:45:31.043158,0,2024-10-17 10:45:31.043158,,569faca8-49e7-4c58-8189-0223c687c312
386,37880,,3003971165,0.08,0.00,0,2024-08-27 15:16:26.158772,0,2024-08-27 15:16:26.158772,872c6280-233b-4c8a-858d-266ef666c692,
364,37474,3003872053,3003872057,0.07,133.97,0,2023-12-13 12:05:57.109603,0,2023-12-13 12:05:57.109603,cf69a250-2ff1-4c6a-a5cf-8da2ff00a35c,b7cdb5f4-fc37-45e1-8752-4028d5f1d24a
365,37482,3003872053,3003872057,0.32,644.35,0,2024-01-03 09:16:14.959247,0,2024-01-03 09:16:14.959247,cf69a250-2ff1-4c6a-a5cf-8da2ff00a35c,89a0d6d9-6cce-4528-95c4-ef6ccee984a5
369,37553,3003872053,,0.00,145.49,0,2024-03-08 13:21:05.703989,0,2024-03-08 13:21:05.703989,,e4b14e37-e163-4461-84d1-2983c73a1247
346,37403,3003749425,3003749432,0.07,133.97,0,2023-10-23 12:11:27.123919,0,2023-10-23 12:11:27.123919,f8ec5427-76d9-4efc-a7d3-d6c33a22c45a,7b8428c0-9584-4658-8d63-61a0dc2d97a9
366,37506,,3003872057,0.06,0.00,0,2024-01-26 11:58:39.439159,0,2024-01-26 11:58:39.439159,cf69a250-2ff1-4c6a-a5cf-8da2ff00a35c,
342,37378,10102023,,1.02,2167.20,0,2023-09-29 12:05:47.130454,0,2023-09-29 12:05:47.130454,,bafb043f-ba30-45f9-986c-18d8a7e3dd7e
371,37563,3004547708,,0.00,145.49,0,2024-04-03 10:26:00.70347,0,2024-04-03 10:26:00.70347,,1b3599b4-b271-43e0-b577-6e6fa474e878
