id,available_balance,reserved_balance,blocked_balance,retired_balance,user_id,updated_on,platform_id
18335,0,0,0,0,12,2022-09-06 18:17:58.325057,1
21831,130000,0,0,0,1700,2023-08-17 11:32:23.086766,4
18340,0,0,7,0,162,2022-09-21 11:36:38.32187,3
18381,0,0,0,1262,887,2023-04-03 16:17:36.469053,3
21428,0,0,0,0,1495,2023-05-29 17:54:47.796032,4
18319,18,0,0,0,590,2023-08-15 10:45:43.086542,4
21637,0,0,0,4,1647,2023-06-27 14:07:12.808811,4
21643,35000,0,0,0,1542,2025-07-21 17:55:56.070398,3
21432,0,0,0,0,1276,2023-06-22 10:57:34.535207,2
18337,37585,0,0,0,310,2023-08-25 11:40:23.106196,2
21681,7047,0,0,0,1659,2023-07-12 11:17:35.335129,4
21562,19999,0,0,0,1541,2023-07-12 19:17:24.77445,3
21650,2,0,0,0,1209,2023-07-03 13:14:30.339049,4
21734,0,0,0,36,1676,2023-08-03 12:23:00.337083,4
21116,30000,0,0,0,1594,2023-05-16 17:15:02.816298,4
20884,0,0,15,0,1245,2023-06-23 15:42:35.592572,3
20276,0,0,0,1,1363,2022-10-26 14:35:36.58404,3
18349,0,0,0,0,84,2022-09-06 18:17:58.325057,1
20759,0,0,0,1,1484,2023-03-13 11:57:29.942086,3
18352,0,0,355893,0,258,2022-09-21 11:43:15.332996,2
18355,0,0,0,0,344,2022-09-06 18:17:58.325057,1
18356,0,0,0,0,568,2022-09-06 18:17:58.325057,2
18361,0,0,0,0,555,2022-09-06 18:17:58.325057,2
21833,705,0,0,0,1664,2023-08-18 14:38:08.089096,4
20594,14,0,0,0,1397,2023-08-25 12:05:08.087838,4
21564,9999,0,0,0,1627,2023-07-12 19:18:12.25521,3
20852,0,0,0,0,850,2023-04-13 09:15:44.657517,3
21025,1000000,0,0,0,1573,2023-05-04 09:40:52.260757,4
23115,0,0,0,1,2039,2024-05-22 12:22:35.909574,3
21685,7047,0,0,0,1658,2023-07-13 15:17:15.346374,4
20504,0,0,0,0,1367,2024-10-25 08:24:41.718587,4
21835,705,0,0,0,1663,2023-08-18 14:38:13.079019,4
20976,10000,0,0,0,1541,2023-06-14 08:51:47.797915,4
21837,7047,0,0,0,1661,2023-08-18 14:38:18.077136,4
22924,0,0,0,4,1932,2023-12-12 12:21:21.723305,3
23106,10,0,0,0,1716,2024-06-04 10:31:30.834807,4
18366,281504,0,0,0,584,2023-09-20 14:32:33.570132,2
20500,112425,0,0,0,1360,2024-10-25 08:24:41.718587,4
22021,0,0,0,2,1740,2023-09-15 08:49:55.740761,3
20403,12,0,0,0,1334,2023-08-15 10:45:43.086542,4
20405,12,0,0,0,1333,2023-08-15 10:45:43.086542,4
22676,171707,0,0,0,1896,2023-10-27 16:52:38.465456,2
21430,0,0,0,0,1276,2024-01-31 14:48:14.07751,4
22778,0,0,393,663,1908,2024-08-23 13:44:47.997721,3
23001,0,0,0,0,1972,2024-02-27 09:12:30.576426,5
22403,0,0,0,7,1747,2023-09-27 11:49:06.810904,3
23314,39970,0,0,0,1322,2025-07-21 17:56:27.398347,3
23097,1,0,0,0,863,2024-05-01 18:11:20.846302,4
22512,0,0,0,175,1128,2024-08-23 14:23:40.831045,3
20962,92,0,0,0,1533,2024-01-10 15:22:39.088239,4
23100,2,0,0,0,1389,2024-05-01 18:11:45.834831,4
23102,1,0,0,0,2028,2024-05-01 18:11:55.836138,4
23104,1,0,0,0,1921,2024-05-01 18:12:05.829454,4
22885,0,0,0,2,1906,2023-12-06 16:28:12.70463,3
23033,0,0,0,1,2001,2024-04-03 10:26:00.636715,3
20827,924810,0,0,0,1525,2024-04-11 09:34:25.559262,2
20966,100000,0,0,0,1525,2024-04-11 09:34:25.559262,4
21417,28442117,0,0,3,1623,2025-07-11 03:00:00.258503,4
20958,0,0,0,0,1479,2023-08-15 10:45:43.086542,4
19217,804,0,0,2,1172,2024-07-11 10:56:50.854794,4
21453,162959,0,0,0,1367,2024-10-25 08:23:26.756772,3
18257,57140395,0,0,0,398,2022-09-06 18:17:58.325057,2
18371,0,0,1,0,633,2023-03-16 16:22:31.368815,4
18376,0,0,0,0,120,2022-09-06 18:17:58.325057,1
18385,0,0,7,0,274,2023-03-16 16:31:06.0771,3
20899,0,0,0,0,1398,2023-04-06 08:44:54.67036,3
21855,0,0,0,17,1695,2023-08-25 11:51:53.091417,4
21149,0,0,0,4,1344,2023-05-19 17:40:52.818583,4
21118,0,0,0,0,1589,2023-08-15 08:53:48.077921,4
22614,0,0,0,0,1644,2023-10-27 10:04:09.648409,2
21053,0,0,0,31,1577,2023-05-04 10:47:27.274674,4
21567,0,0,0,1,1609,2023-06-15 14:08:52.851348,3
20979,0,0,0,0,1505,2023-08-15 10:45:43.086542,4
23375,0,0,0,5,2112,2024-08-27 10:33:00.903581,3
20981,0,0,0,0,1425,2023-08-15 10:45:43.086542,4
21688,0,0,0,41,1644,2023-08-24 14:30:18.095541,4
20983,0,0,0,0,1489,2023-08-15 10:45:43.086542,4
20985,0,0,0,0,1487,2023-08-15 10:45:43.086542,4
21438,0,0,0,5,1602,2023-05-29 18:08:32.800171,4
18762,28,0,0,0,5,2025-07-22 14:20:49.540772,4
21941,0,0,0,20,1765,2023-09-15 08:48:00.74924,3
20964,0,0,0,0,1534,2023-08-15 10:45:43.086542,4
18417,22,0,0,0,643,2023-10-16 10:18:41.792874,4
21056,18800,0,0,0,1553,2024-11-01 11:27:17.96315,4
18778,8063097,0,0,39,6,2025-07-11 17:18:44.537596,4
21789,0,0,0,0,1691,2023-08-31 12:03:48.077443,4
21843,0,0,0,20,1697,2023-08-25 11:51:43.090038,4
18965,0,0,0,794,1137,2023-08-15 10:45:43.086542,4
18400,11,0,0,0,1208,2023-08-25 12:05:08.087838,4
21154,0,0,0,2,1605,2023-05-22 08:39:32.859624,3
20192,14,0,0,0,1303,2023-08-24 13:56:23.086822,4
21447,4100000,0,0,0,1375,2023-05-30 11:36:52.804067,4
22371,0,0,0,1,1753,2023-09-19 10:52:26.81661,3
18394,13316398,0,0,0,643,2023-09-20 14:32:33.570132,2
20197,12,0,0,0,1301,2023-08-15 10:45:43.086542,4
20195,12,0,0,0,1305,2023-08-15 10:45:43.086542,4
18402,84480,0,0,0,340,2023-08-25 11:40:23.106196,2
20987,0,0,0,39,1529,2023-04-19 10:54:18.502823,4
21754,0,0,0,79,1522,2023-08-04 11:19:00.414605,3
18409,134855,0,0,0,180,2023-07-13 18:18:36.072235,2
18405,0,0,0,1,822,2022-09-06 18:17:58.325057,3
18413,0,0,0,0,118,2022-09-06 18:17:58.325057,1
21006,0,0,0,0,1548,2023-07-06 17:18:00.335262,4
