id,name,description,category
313,adm:akses-sale-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Venda.,ADM - Gestão de pedidos de venda
314,adm:akses-client-certificate-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Certificado Cliente (Selo com Saldo).,ADM Akses- Gestão de pedidos de selo do cliente
315,adm:akses-financial-dist-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Certificado Distribuidor Financeira.,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
316,adm:akses-general-dist-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Certificado Distribuidor Geral.,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
317,adm:akses-credentialed-dist-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Certificado SAAS Tesouro Verde.,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
318,adm:akses-living-carbon-certificate-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Certificado Carbono Vivo.,ADM - Selo Carbono Vivo
319,adm:tesouro-verde-certificate-orders:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Certificado Tesouro Verde.,ADM Tesouro Verde - Gestão de pedidos de selo
320,adm:akses-purchase-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Compra.,ADM - Gestão de pedidos de compra
321,adm:akses-transfer-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Transferência.,ADM - Gestão de pedidos de transferência
322,adm:akses-sale-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Venda.,ADM - Gestão de pedidos de venda
323,adm:akses-client-certificate-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Certificado Cliente (Selo com Saldo).,ADM Akses- Gestão de pedidos de selo do cliente
324,adm:akses-financial-dist-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Certificado Distribuidor Financeira.,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
325,adm:akses-general-dist-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Certificado Distribuidor Geral.,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
326,adm:akses-credentialed-dist-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Certificado SAAS Tesouro Verde.,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
327,adm:akses-living-carbon-certificate-order:remove-discount,Permite remover um cupom de desconto em Pedidos de Certificado Carbono Vivo.,ADM - Selo Carbono Vivo
