id,remittance_id,bill_to_pay_id,transfer_to_id,variation,created_by,created_date,last_modified_by,last_modified_date
835,100,752,41,0.00,890,2022-11-21 11:25:28.341914,890,2022-11-21 11:25:28.341914
836,100,748,312,0.00,890,2022-11-21 11:25:28.342616,890,2022-11-21 11:25:28.342616
838,101,754,296,0.00,890,2022-11-22 09:48:05.879246,890,2022-11-22 09:48:05.879246
841,102,758,1,0.00,890,2022-11-23 10:19:21.972963,890,2022-11-23 10:19:21.972963
842,102,757,421,0.00,890,2022-11-23 10:19:21.973895,890,2022-11-23 10:19:21.973895
844,103,759,422,0.00,890,2022-11-23 12:41:16.950976,890,2022-11-23 12:41:16.950976
846,104,760,1,0.00,890,2022-11-24 09:20:13.175694,890,2022-11-24 09:20:13.175694
852,105,763,35,0.00,890,2022-11-25 08:53:22.959978,890,2022-11-25 08:53:22.959978
853,105,762,35,0.00,890,2022-11-25 08:53:22.96096,890,2022-11-25 08:53:22.96096
854,105,765,95,0.00,890,2022-11-25 08:53:22.961695,890,2022-11-25 08:53:22.961695
855,105,764,87,0.00,890,2022-11-25 08:53:22.962703,890,2022-11-25 08:53:22.962703
856,105,761,1,0.00,890,2022-11-25 08:53:22.963642,890,2022-11-25 08:53:22.963642
860,106,766,423,0.00,890,2022-11-25 10:37:28.09695,890,2022-11-25 10:37:28.09695
861,106,767,424,0.00,890,2022-11-25 10:37:28.09794,890,2022-11-25 10:37:28.09794
862,106,769,41,0.00,890,2022-11-25 10:37:28.098754,890,2022-11-25 10:37:28.098754
864,107,772,425,0.00,890,2022-11-25 13:06:11.900625,890,2022-11-25 13:06:11.900625
866,108,803,87,0.00,890,2022-11-28 10:30:09.233899,890,2022-11-28 10:30:09.233899
868,109,810,34,0.00,890,2022-11-29 10:36:37.495437,890,2022-11-29 10:36:37.495437
874,110,814,430,0.00,890,2022-11-29 12:04:17.189236,890,2022-11-29 12:04:17.189236
875,110,812,428,0.00,890,2022-11-29 12:04:17.190361,890,2022-11-29 12:04:17.190361
876,110,815,431,0.00,890,2022-11-29 12:04:17.191165,890,2022-11-29 12:04:17.191165
877,110,813,429,0.00,890,2022-11-29 12:04:17.192017,890,2022-11-29 12:04:17.192017
878,110,816,432,0.00,890,2022-11-29 12:04:17.192642,890,2022-11-29 12:04:17.192642
1225,147,1071,91,0.00,890,2022-12-14 15:53:08.827735,890,2022-12-14 15:53:08.827735
891,111,817,408,0.00,890,2022-11-30 08:08:33.096196,890,2022-11-30 08:08:33.096196
892,111,820,85,0.00,890,2022-11-30 08:08:33.097284,890,2022-11-30 08:08:33.097284
893,111,823,392,0.00,890,2022-11-30 08:08:33.097975,890,2022-11-30 08:08:33.097975
894,111,818,406,0.00,890,2022-11-30 08:08:33.098649,890,2022-11-30 08:08:33.098649
895,111,821,86,0.00,890,2022-11-30 08:08:33.099318,890,2022-11-30 08:08:33.099318
896,111,827,433,0.00,890,2022-11-30 08:08:33.099988,890,2022-11-30 08:08:33.099988
897,111,825,83,0.00,890,2022-11-30 08:08:33.100635,890,2022-11-30 08:08:33.100635
898,111,822,28,0.00,890,2022-11-30 08:08:33.101323,890,2022-11-30 08:08:33.101323
899,111,819,405,0.00,890,2022-11-30 08:08:33.101976,890,2022-11-30 08:08:33.101976
900,111,824,37,0.00,890,2022-11-30 08:08:33.102651,890,2022-11-30 08:08:33.102651
901,111,828,434,0.00,890,2022-11-30 08:08:33.103286,890,2022-11-30 08:08:33.103286
902,111,826,403,0.00,890,2022-11-30 08:08:33.104057,890,2022-11-30 08:08:33.104057
1226,147,1048,338,0.00,890,2022-12-14 15:53:08.828238,890,2022-12-14 15:53:08.828238
1227,147,1062,353,0.00,890,2022-12-14 15:53:08.828768,890,2022-12-14 15:53:08.828768
3279,330,2235,296,0.00,1406,2023-03-20 14:52:21.191249,1406,2023-03-20 14:52:21.191249
906,112,831,35,0.00,890,2022-11-30 08:16:31.710923,890,2022-11-30 08:16:31.710923
907,112,832,35,0.00,890,2022-11-30 08:16:31.712401,890,2022-11-30 08:16:31.712401
908,112,830,35,0.00,890,2022-11-30 08:16:31.713792,890,2022-11-30 08:16:31.713792
