id,issuer_id,recipient_id,ucs_transfer_amount,distribution_id,status,observations,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,origin_platform_id,recipient_platform_id
1169,3,402,3425,38631,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27588",933,2023-07-06 19:27:09.876202,0,2024-11-25 08:58:49.555079,,,4,4
1161,3,402,10,38642,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18821",933,2023-07-06 19:26:02.146092,851,2024-11-18 16:22:49.907407,,,4,4
1244,3,402,289,38576,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27663",933,2023-07-06 19:37:42.648785,933,2024-11-25 08:58:50.701186,,,4,4
1245,3,402,3878,38619,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27664",933,2023-07-06 19:37:51.142011,933,2024-11-25 08:58:50.70117,,,4,4
1167,3,402,27743,38633,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18827",933,2023-07-06 19:26:52.602917,0,2024-11-25 08:58:49.610546,,,4,4
1647,3,254,1163,38207,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27512",933,2023-07-06 20:33:29.558374,0,2024-11-25 08:56:27.026036,,,4,4
952,3,400,28736,38896,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18742",933,2023-07-06 18:56:32.684353,933,2024-11-25 08:58:50.697698,,,4,4
1163,3,402,125,38640,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18823",933,2023-07-06 19:26:18.839469,0,2024-11-25 08:58:49.709708,,,4,4
1216,3,402,107,38574,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27635",933,2023-07-06 19:33:46.302478,933,2024-11-25 08:58:50.701596,,,4,4
1665,3,270,153,38133,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27473",933,2023-07-06 20:35:58.910355,0,2024-11-25 08:56:26.719434,,,4,4
