id,created_by,created_date,last_modified_by,last_modified_date,amount,registered_on,year,area_id,platform_id,producer_certificate_platform_id
144,1,2011-07-02 00:00:00,,,2317477,2011-07-02 00:00:00,2010,145,,4
145,1,2011-07-02 00:00:00,,,1258872,2011-07-02 00:00:00,2010,146,,4
146,1,2011-07-02 00:00:00,,,124787,2011-07-02 00:00:00,2010,147,,4
147,1,2011-07-02 00:00:00,,,1676494,2011-07-02 00:00:00,2010,148,,4
148,1,2011-07-02 00:00:00,,,270704,2011-07-02 00:00:00,2010,149,,4
149,1,2011-07-02 00:00:00,,,337669,2011-07-02 00:00:00,2010,150,,4
150,1,2011-07-02 00:00:00,,,79296,2011-07-02 00:00:00,2010,151,,4
151,1,2011-07-02 00:00:00,,,78774,2011-07-02 00:00:00,2010,152,,4
152,1,2011-07-02 00:00:00,,,47527,2011-07-02 00:00:00,2010,153,,4
153,1,2011-07-02 00:00:00,,,864491,2011-07-02 00:00:00,2010,154,,4
154,1,2011-07-02 00:00:00,,,697353,2011-07-02 00:00:00,2010,155,,4
155,1,2011-07-02 00:00:00,,,668126,2011-07-02 00:00:00,2010,156,,4
156,1,2011-07-02 00:00:00,,,196556,2011-07-02 00:00:00,2010,157,,4
157,1,2011-07-02 00:00:00,,,16244,2011-07-02 00:00:00,2010,158,,4
158,1,2011-07-02 00:00:00,,,223397,2011-07-02 00:00:00,2010,159,,4
159,1,2011-07-02 00:00:00,,,389439,2011-07-02 00:00:00,2010,160,,4
160,1,2011-07-02 00:00:00,,,46215,2011-07-02 00:00:00,2010,161,,4
161,1,2011-07-02 00:00:00,,,44546,2011-07-02 00:00:00,2010,162,,4
162,1,2011-07-02 00:00:00,,,80330,2011-07-02 00:00:00,2010,163,,4
163,1,2011-07-02 00:00:00,,,64428,2011-07-02 00:00:00,2010,164,,4
164,1,2011-07-02 00:00:00,,,613840,2011-07-02 00:00:00,2010,165,,4
165,1,2011-07-02 00:00:00,,,612055,2011-07-02 00:00:00,2010,166,,4
166,1,2011-07-02 00:00:00,,,435786,2011-07-02 00:00:00,2010,167,,4
167,1,2011-07-02 00:00:00,,,60683,2011-07-02 00:00:00,2010,168,,4
168,1,2011-07-02 00:00:00,,,56724,2011-07-02 00:00:00,2010,169,,4
169,1,2011-07-02 00:00:00,,,59401,2011-07-02 00:00:00,2010,170,,4
170,1,2011-07-02 00:00:00,,,46067,2011-07-02 00:00:00,2010,171,,4
171,1,2011-07-02 00:00:00,,,798478,2011-07-02 00:00:00,2010,172,,4
172,1,2011-07-02 00:00:00,,,726003,2011-07-02 00:00:00,2010,173,,4
173,1,2011-07-02 00:00:00,,,66392,2011-07-02 00:00:00,2010,174,,4
174,1,2011-07-02 00:00:00,,,1073057,2011-07-02 00:00:00,2010,175,,4
175,1,2011-07-02 00:00:00,,,586426,2011-07-02 00:00:00,2010,176,,4
176,1,2011-07-02 00:00:00,,,473369,2011-07-02 00:00:00,2010,177,,4
177,1,2011-07-02 00:00:00,,,179987166,2011-07-02 00:00:00,2010,178,,4
178,1,2011-07-02 00:00:00,,,68714,2011-07-02 00:00:00,2010,179,,4
179,1,2011-07-02 00:00:00,,,75545,2011-07-02 00:00:00,2010,180,,4
180,1,2011-07-02 00:00:00,,,59429,2011-07-02 00:00:00,2010,181,,4
181,1,2011-07-02 00:00:00,,,96859,2011-07-02 00:00:00,2010,182,,4
182,1,2011-07-02 00:00:00,,,550223,2011-07-02 00:00:00,2010,183,,4
183,1,2011-07-02 00:00:00,,,116592,2011-07-02 00:00:00,2010,184,,4
184,1,2011-07-02 00:00:00,,,112255,2011-07-02 00:00:00,2010,185,,4
185,1,2011-07-02 00:00:00,,,795481,2011-07-02 00:00:00,2010,186,,4
186,1,2011-07-02 00:00:00,,,359967,2011-07-02 00:00:00,2010,187,,4
187,1,2011-07-02 00:00:00,,,1112313,2011-07-02 00:00:00,2010,188,,4
188,1,2011-07-02 00:00:00,,,26997,2011-07-02 00:00:00,2010,189,,4
189,1,2011-07-02 00:00:00,,,385298,2011-07-02 00:00:00,2010,190,,4
190,1,2011-07-02 00:00:00,,,59664,2011-07-02 00:00:00,2010,191,,4
191,1,2011-07-02 00:00:00,,,3321237,2011-07-02 00:00:00,2010,192,,4
192,1,2011-07-02 00:00:00,,,2034532,2011-07-02 00:00:00,2010,193,,4
193,1,2011-07-02 00:00:00,,,3106465,2011-07-02 00:00:00,2010,194,,4
194,1,2011-07-02 00:00:00,,,6142428,2011-07-02 00:00:00,2010,195,,4
195,1,2011-07-02 00:00:00,,,176414,2011-07-02 00:00:00,2010,196,,4
196,1,2011-07-02 00:00:00,,,60993,2011-07-02 00:00:00,2010,197,,4
197,1,2011-07-02 00:00:00,,,444260,2011-07-02 00:00:00,2010,198,,4
198,1,2011-07-02 00:00:00,,,1711946,2011-07-02 00:00:00,2010,199,,4
199,1,2011-07-02 00:00:00,,,212136,2011-07-02 00:00:00,2010,200,,4
200,1,2011-07-02 00:00:00,,,8676127,2011-07-02 00:00:00,2010,201,,4
201,1,2011-07-02 00:00:00,,,108461,2011-07-02 00:00:00,2010,202,,4
202,1,2011-07-02 00:00:00,,,4139602,2011-07-02 00:00:00,2010,203,,4
203,1,2011-07-02 00:00:00,,,772357,2011-07-02 00:00:00,2010,204,,4
204,1,2011-07-02 00:00:00,,,231236,2011-07-02 00:00:00,2010,205,,4
205,1,2011-07-02 00:00:00,,,2000808,2011-07-02 00:00:00,2010,206,,4
206,1,2011-07-02 00:00:00,,,264448,2011-07-02 00:00:00,2010,207,,4
207,1,2011-07-02 00:00:00,,,231589,2011-07-02 00:00:00,2010,208,,4
208,1,2011-07-02 00:00:00,,,106893,2011-07-02 00:00:00,2010,209,,4
209,1,2011-07-02 00:00:00,,,382432,2011-07-02 00:00:00,2010,210,,4
210,1,2011-07-02 00:00:00,,,188519,2011-07-02 00:00:00,2010,211,,4
211,1,2011-07-02 00:00:00,,,704180,2011-07-02 00:00:00,2010,212,,4
212,1,2011-07-02 00:00:00,,,901572,2011-07-02 00:00:00,2010,213,,4
213,1,2011-07-02 00:00:00,,,504128,2011-07-02 00:00:00,2010,214,,4
214,1,2011-07-02 00:00:00,,,2035268,2011-07-02 00:00:00,2010,215,,4
215,1,2011-07-02 00:00:00,,,1070927,2011-07-02 00:00:00,2010,216,,4
216,1,2011-07-02 00:00:00,,,1067722,2011-07-02 00:00:00,2010,217,,4
217,1,2011-07-02 00:00:00,,,91728,2011-07-02 00:00:00,2010,218,,4
218,1,2011-07-02 00:00:00,,,2767491,2011-07-02 00:00:00,2010,219,,4
219,1,2011-07-02 00:00:00,,,311272,2011-07-02 00:00:00,2010,220,,4
220,1,2011-07-02 00:00:00,,,4124527,2011-07-02 00:00:00,2010,221,,4
221,1,2011-07-02 00:00:00,,,5507,2011-07-02 00:00:00,2010,222,,4
222,1,2011-07-02 00:00:00,,,142781,2011-07-02 00:00:00,2010,223,,4
223,1,2011-07-02 00:00:00,,,565426,2011-07-02 00:00:00,2010,224,,4
224,1,2011-07-02 00:00:00,,,1771170,2011-07-02 00:00:00,2010,225,,4
225,1,2011-07-02 00:00:00,,,48386,2011-07-02 00:00:00,2010,226,,4
226,1,2011-07-02 00:00:00,,,1153288,2011-07-02 00:00:00,2010,227,,4
227,1,2011-07-02 00:00:00,,,282896,2011-07-02 00:00:00,2010,228,,4
228,1,2011-07-02 00:00:00,,,1416602,2011-07-02 00:00:00,2010,229,,4
229,1,2011-07-02 00:00:00,,,121523,2011-07-02 00:00:00,2010,230,,4
230,1,2011-07-02 00:00:00,,,2632,2011-07-02 00:00:00,2010,231,,4
231,1,2011-07-02 00:00:00,,,1126697,2011-07-02 00:00:00,2010,232,,4
232,1,2011-07-02 00:00:00,,,1424691,2011-07-02 00:00:00,2010,233,,4
233,1,2011-07-02 00:00:00,,,2419603,2011-07-02 00:00:00,2010,234,,4
235,933,2023-05-29 17:47:39.049798,933,2023-05-29 17:47:39.049798,30025705,2022-05-29 00:00:42.831,2022,238,,4
236,933,2023-05-29 17:48:14.539273,933,2023-05-29 17:48:14.539273,41980907,2022-05-29 00:00:40.666,2022,237,,4
237,933,2023-05-29 17:48:43.266322,933,2023-05-29 17:48:43.266322,41714376,2022-05-29 00:00:16.025,2022,239,,4
241,933,2023-09-16 18:21:09.600987,933,2023-09-16 18:21:09.600987,1279753,2022-09-16 00:00:50.375,2022,241,1,
245,933,2023-09-16 18:27:57.117366,933,2023-09-16 18:27:57.117366,6348380,2022-09-16 00:00:45.753,2022,247,1,
246,933,2023-09-16 18:29:38.782475,933,2023-09-16 18:29:38.782475,6747202,2022-09-16 00:00:27.341,2022,248,1,
