id,available_balance,retired_balance,blocked_balance,harvest_year,harvest_id,user_id,updated_on,platform_id
9092,55620,0,0,2010,159,404,2024-11-25 09:14:48.906317,4
14037,3,0,0,2010,136,204,2024-06-11 09:40:11.122304,3
722,0,0,0,2010,8,444,2024-06-18 01:31:10.854649,2
2987,0,0,0,2010,62,494,2024-06-18 01:37:21.016661,2
20861,6,0,0,2010,7,1090,2024-12-13 12:38:23.865117,3
3417,3,0,0,2010,134,170,2024-06-06 16:14:41.06517,3
17016,3,0,0,2010,36,174,2024-06-06 16:14:41.146887,3
14317,3,0,0,2010,42,208,2024-06-11 09:40:11.199554,3
4706,3,0,0,2010,205,176,2024-06-06 16:14:41.182491,3
10167,3,0,0,2010,210,210,2024-06-11 09:40:11.233793,3
5197,0,0,0,2010,141,626,2023-11-13 15:06:53.685692,3
6580,3,0,0,2010,96,218,2024-06-11 09:40:11.289551,3
15004,3,0,0,2010,37,180,2024-06-06 16:14:41.220546,3
15731,3,0,0,2010,138,220,2024-06-12 10:36:46.097834,3
7099,3,0,0,2010,87,184,2024-06-06 16:14:41.247236,3
7886,3,0,0,2010,88,186,2024-06-06 16:14:41.278075,3
9711,0,0,0,2010,74,494,2024-06-18 01:37:21.050105,2
8822,0,0,0,2010,139,424,2024-06-18 01:28:26.262575,2
5144,0,0,0,2010,159,424,2024-06-18 01:28:26.32546,2
13924,0,0,0,2010,161,424,2024-06-18 01:28:26.332525,2
6164,0,0,0,2010,79,494,2024-06-18 01:37:21.066745,2
18042,0,5,0,2010,97,887,2023-04-03 16:17:39.16053,3
1474,0,2,0,2010,211,887,2023-04-03 16:17:39.185538,3
6691,0,716,0,2010,177,887,2023-04-03 16:17:39.193126,3
803,0,0,0,2010,7,496,2024-06-18 01:37:35.858359,2
11009,0,2,0,2010,43,887,2023-04-03 16:17:39.209445,3
20918,0,2,0,2010,200,887,2023-04-03 16:17:39.243384,3
9753,0,216,0,2010,1,887,2023-04-03 16:17:39.251425,3
16632,0,5,0,2010,99,887,2023-04-03 16:17:39.259084,3
20937,0,1,0,2010,69,887,2023-04-03 16:17:39.267158,3
23908,82,0,0,2010,123,80,2024-11-25 08:58:15.205187,4
17725,0,2,0,2010,45,887,2023-04-03 16:17:39.28312,3
20936,0,5,0,2010,6,887,2023-04-03 16:17:39.291096,3
804,0,11,0,2010,208,506,2022-09-06 18:17:58.325057,4
5010,0,2,0,2010,146,887,2023-04-03 16:17:39.298775,3
16970,0,20,0,2010,141,887,2023-04-03 16:17:39.306525,3
7599,0,2,0,2010,168,887,2023-04-03 16:17:39.314254,3
13303,3,0,0,2010,211,226,2024-06-18 17:56:51.267022,3
9031,0,2,0,2010,100,887,2023-04-03 16:17:39.330272,3
20849,6,0,0,2010,1,900,2024-10-21 17:48:23.434712,3
20841,15,0,0,2010,21,1172,2023-07-19 11:09:15.568197,3
805,0,0,0,2010,86,828,2022-09-06 18:17:58.325057,3
806,0,0,0,2010,141,353,2022-09-06 18:17:58.325057,2
807,0,0,0,2010,156,724,2022-09-06 18:17:58.325057,4
20938,0,1,0,2010,4,887,2023-04-03 16:17:39.338387,3
11853,0,2,0,2010,101,887,2023-04-03 16:17:39.346643,3
20933,0,12,0,2010,21,887,2023-04-03 16:17:39.355077,3
15114,0,2,0,2010,48,887,2023-04-03 16:17:39.363437,3
20930,0,3,0,2010,61,887,2023-04-03 16:17:39.371744,3
6073,0,2,0,2010,217,887,2023-04-03 16:17:39.379859,3
10220,0,2,0,2010,148,887,2023-04-03 16:17:39.388182,3
6986,0,2,0,2010,102,887,2023-04-03 16:17:39.396124,3
11930,0,2,0,2010,175,887,2023-04-03 16:17:39.40436,3
4242,0,2,0,2010,179,887,2023-04-03 16:17:39.412611,3
16865,0,2,0,2010,103,887,2023-04-03 16:17:39.421313,3
9580,0,2,0,2010,104,887,2023-04-03 16:17:39.431902,3
13353,3,0,0,2010,43,228,2024-06-20 09:02:46.354495,3
11004,0,2,0,2010,106,887,2023-04-03 16:17:39.456123,3
20847,6,0,0,2010,6,922,2024-10-21 17:48:23.507499,3
15154,0,2,0,2010,107,887,2023-04-03 16:17:39.464215,3
17730,3,0,0,2010,144,232,2024-06-20 09:02:46.40765,3
14612,0,2,0,2010,108,887,2023-04-03 16:17:39.472422,3
8603,0,2,0,2010,109,887,2023-04-03 16:17:39.480452,3
20845,6,0,0,2010,6,921,2024-10-29 09:52:08.397628,3
20939,0,1,0,2010,53,887,2023-04-03 16:17:39.488477,3
6805,3,0,0,2010,45,236,2024-06-20 09:02:46.476221,3
20940,0,1,0,2010,110,887,2023-04-03 16:17:39.49659,3
24343,53943,0,0,2010,106,404,2024-11-25 09:14:48.956234,4
20941,0,1,0,2010,111,887,2023-04-03 16:17:39.504878,3
12230,3,0,0,2010,168,244,2024-06-20 09:03:01.523102,3
20942,0,1,0,2010,220,887,2023-04-03 16:17:39.513321,3
5209,0,3,0,2010,221,887,2023-04-03 16:17:39.521892,3
884,0,0,0,2010,21,510,2022-09-06 18:17:58.325057,4
20943,0,1,0,2010,58,887,2023-04-03 16:17:39.53036,3
20944,0,1,0,2010,222,887,2023-04-03 16:17:39.538558,3
24349,61640,0,0,2010,136,404,2024-11-25 09:14:48.972479,4
8336,3,0,0,2010,102,266,2024-07-10 17:34:01.166527,3
16922,3,0,0,2010,179,280,2024-07-10 17:34:01.244746,3
5774,3,0,0,2010,100,248,2024-06-20 09:03:01.569947,3
4985,3,0,0,2010,103,282,2024-07-10 17:34:01.298888,3
7889,0,0,0,2010,139,494,2024-06-18 01:37:21.238775,2
11676,3,0,0,2010,104,284,2024-07-10 17:34:01.355116,3
882,0,0,0,2010,92,476,2024-06-18 01:34:51.100268,2
11621,0,0,0,2010,147,494,2024-06-18 01:37:21.258928,2
17940,0,0,0,2010,151,494,2024-06-18 01:37:21.272722,2
883,0,0,0,2010,178,410,2024-06-18 01:19:01.613512,2
1064,0,0,0,2010,167,424,2024-06-18 01:28:26.353984,2
24338,71911,0,0,2010,218,404,2024-11-25 09:18:03.446917,4
2875,0,0,0,2010,169,424,2024-06-18 01:28:26.361517,2
10225,3,0,0,2010,101,252,2024-06-20 09:03:01.607433,3
9597,3,0,0,2010,48,256,2024-06-20 09:03:01.640189,3
3003,0,0,0,2010,176,424,2024-06-18 01:28:26.38849,2
5558,0,0,0,2010,158,494,2024-06-18 01:37:21.293259,2
23690,576,0,0,2010,102,78,2024-11-25 08:58:04.151501,4
16978,3,0,0,2010,217,262,2024-06-20 09:03:01.676124,3
8042,3,0,0,2010,148,264,2024-06-20 09:03:01.715316,3
14454,0,0,6,2010,109,296,2023-07-11 10:26:56.291604,3
885,13071,0,0,2010,129,44,2023-08-25 11:40:23.341059,2
13166,0,0,6,2010,175,272,2023-09-01 09:16:26.832164,3
886,0,0,0,2010,41,820,2022-09-06 18:17:58.325057,4
19976,0,4,0,2010,27,1235,2023-04-04 09:56:18.735017,4
19977,0,4,0,2010,160,1235,2023-04-04 09:56:18.739294,4
1044,0,0,0,2010,105,502,2024-06-18 01:38:26.134518,2
24323,84451,0,0,2010,52,404,2024-11-25 09:14:48.998412,4
962,0,2,0,2010,90,1103,2023-06-01 17:17:17.868669,4
963,0,0,0,2010,181,820,2022-09-06 18:17:58.325057,2
964,0,0,0,2010,203,574,2022-09-06 18:17:58.325057,4
965,0,3,0,2010,21,751,2022-09-06 18:17:58.325057,3
966,0,1,0,2010,177,709,2022-09-06 18:17:58.325057,3
20945,495,0,0,2010,134,1489,2023-08-15 10:24:48.11896,2
20946,6,0,0,2010,134,1487,2023-08-15 10:24:48.136464,2
1043,0,0,0,2010,104,432,2022-09-06 18:17:58.325057,3
1046,0,0,0,2010,193,505,2022-09-06 18:17:58.325057,2
1047,0,0,0,2010,136,723,2022-09-06 18:17:58.325057,4
20952,16667,0,0,2010,134,922,2023-04-10 15:18:34.688678,2
20953,6740,0,0,2010,134,919,2023-04-10 15:18:39.689819,2
20954,4939,0,0,2010,135,919,2023-04-10 15:18:39.692777,2
20955,4988,0,0,2010,136,919,2023-04-10 15:18:39.695882,2
20956,12334,0,0,2010,136,937,2023-04-10 15:18:44.698642,2
24325,85207,0,0,2010,18,404,2024-11-25 09:14:49.012201,4
20949,0,0,0,2010,134,1534,2023-08-15 10:24:48.17137,2
1128,619,0,0,2010,210,448,2022-09-06 18:17:58.325057,2
20051,0,3,0,2010,206,1235,2023-04-10 17:17:59.712688,4
20839,6,0,0,2010,4,919,2024-10-31 16:15:13.312688,3
20837,6,0,0,2010,21,1204,2024-11-13 17:42:03.864323,3
24331,114456,0,0,2010,145,404,2024-11-25 09:14:49.033556,4
20057,0,3,0,2010,136,1235,2023-04-10 17:17:59.73264,4
24255,66066,0,0,2010,19,404,2024-11-25 09:14:49.038227,4
20059,0,3,0,2010,168,1235,2023-04-10 17:17:59.743747,4
20060,0,3,0,2010,169,1235,2023-04-10 17:17:59.750583,4
24280,97130,0,0,2010,55,404,2024-11-25 09:14:49.069207,4
1205,0,0,0,2010,65,633,2022-09-06 18:17:58.325057,2
20967,0,1,0,2010,122,1309,2023-04-11 14:49:59.727476,4
20510,0,2,0,2010,160,1309,2023-04-11 14:49:59.744806,4
20968,0,1,0,2010,128,1309,2023-04-11 14:51:14.711167,4
20969,0,1,0,2010,164,1309,2023-04-11 14:51:14.726976,4
4786,7,0,0,2010,164,158,2023-06-05 16:17:34.386491,4
12694,7,0,0,2010,58,320,2023-06-05 16:17:34.408271,4
4205,7,0,0,2010,180,344,2023-06-05 16:17:34.453666,4
20506,0,8,0,2010,1,1309,2023-07-05 17:39:15.378908,4
20505,0,37,0,2010,177,1309,2023-07-05 17:39:25.361552,4
20957,0,0,0,2010,122,1479,2023-08-15 10:45:44.730468,4
24534,23322,0,0,2010,39,404,2024-11-25 09:14:49.08508,4
20963,0,0,0,2010,134,1534,2023-08-15 10:45:44.854794,4
24268,6820,0,0,2010,90,404,2024-11-25 09:11:25.671712,4
20959,229,0,0,2010,128,1501,2023-09-26 14:27:46.980786,4
20951,0,0,0,2010,134,1501,2023-09-26 14:27:46.983392,2
20835,6,0,0,2010,61,1303,2024-12-11 10:45:23.83739,3
1206,0,0,0,2010,24,486,2024-06-18 01:36:10.916707,2
1045,0,0,0,2010,8,428,2024-06-18 01:29:00.866798,2
20947,0,0,0,2010,134,1533,2024-01-10 15:22:39.118717,2
20961,2,0,0,2010,134,1533,2024-01-10 15:22:39.123858,4
