id,ucs_transfer_amount,issuer_id,recipient_id,distribution_id,ownership_transfer_type_id,status,retired,negotiated_total,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,nxt_id,year,origin_platform_id,recipient_platform_id
356,3000,3,835,37535,11,PROCESSED,f,,918,2024-02-28 07:43:46.67339,918,2024-02-29 09:41:14.211585,,,,2010,2,2
345,127889,3,1640,37479,18,PROCESSED,f,,918,2023-12-18 15:44:00.599138,918,2023-12-18 17:51:38.551599,,,,2010,2,2
342,10,3,1487,37468,14,PROCESSED,f,,918,2023-12-07 11:31:01.632705,918,2023-12-11 14:21:53.045522,,,,2010,2,2
353,10,3,1730,37520,14,PROCESSED,f,,918,2024-02-05 09:19:22.087092,918,2024-02-16 08:06:39.427673,,,,2010,2,2
346,16667,3,922,37489,1,PROCESSED,f,,918,2024-01-08 09:24:30.177719,918,2024-01-09 18:25:49.519125,,,,2010,2,2
350,10,3,1533,37485,14,PROCESSED,f,,918,2024-01-08 09:27:13.020357,918,2024-01-09 18:25:22.25888,,,,2010,2,2
352,500,3,1489,37521,15,PROCESSED,f,,918,2024-02-02 12:27:18.287111,918,2024-02-16 08:06:45.349952,,,,2010,2,2
358,500,3,1489,37574,15,PROCESSED,f,,918,2024-03-05 12:38:39.8837,851,2024-04-04 14:56:04.817976,,,,2010,2,2
361,10,3,1487,37575,14,PROCESSED,f,,918,2024-03-06 11:01:50.949686,851,2024-04-04 14:56:04.818116,,,,2010,2,2
360,10,3,1730,37572,14,PROCESSED,f,,918,2024-03-06 11:01:24.976012,851,2024-04-04 14:56:04.817561,,,,2010,2,2
363,16667,3,922,37569,1,PROCESSED,f,,918,2024-04-04 09:53:54.929924,0,2024-04-04 14:56:04.804018,,,,2010,2,2
362,500,3,1489,37568,15,PROCESSED,f,,918,2024-04-04 09:53:28.497334,0,2024-04-04 14:56:04.805303,,,,2010,2,2
359,10,3,1533,37570,14,PROCESSED,f,,918,2024-03-06 11:01:01.296325,851,2024-04-04 14:56:04.81725,,,,2010,2,2
357,16667,3,922,37573,1,PROCESSED,f,,918,2024-03-04 11:47:53.949976,851,2024-04-04 14:56:04.817786,,,,2010,2,2
366,500,3,1489,37608,15,PROCESSED,f,,918,2024-05-06 17:21:39.097903,918,2024-05-10 10:19:12.827089,,,,2010,2,2
365,16667,3,922,37609,1,PROCESSED,f,,918,2024-05-06 17:21:10.85767,918,2024-05-10 10:19:18.298823,,,,2010,2,2
368,16667,3,922,37637,1,PROCESSED,f,,918,2024-06-10 10:00:59.840934,918,2024-06-10 10:01:09.918894,,,,2010,2,2
367,500,3,1489,37638,15,PROCESSED,f,,918,2024-06-10 10:00:30.721911,918,2024-06-10 10:01:15.610007,,,,2010,2,2
372,16667,3,922,37854,1,PROCESSED,f,,918,2024-08-05 16:05:53.093069,918,2024-08-14 10:45:30.77742,,,,2010,2,2
370,16667,3,922,37855,1,PROCESSED,f,,918,2024-07-23 14:52:02.559824,918,2024-08-14 10:45:37.764145,,,,2010,2,2
369,500,3,1489,37856,15,PROCESSED,f,,918,2024-07-23 14:51:36.462264,918,2024-08-14 10:45:42.02812,,,,2010,2,2
371,500,3,1489,,15,DENIED,f,,918,2024-08-05 14:43:54.575847,918,2024-08-05 16:06:11.292123,incorreto,INCORRECT_DATA,,,4,2
373,500,3,1489,37853,15,PROCESSED,f,,918,2024-08-05 16:06:44.889606,918,2024-08-14 10:45:25.308145,,,,2010,2,2
374,1998,3,2114,37857,2,PROCESSED,f,,918,2024-08-15 08:30:26.764966,918,2024-08-15 12:12:52.431922,,,,2010,2,2
375,3075,3,2117,,20,DENIED,f,,918,2024-08-27 14:38:38.667118,918,2024-08-29 15:50:03.673276,incorreto,INCORRECT_DATA,,2010,2,2
378,1800,3,2124,,21,DENIED,f,,918,2024-09-03 12:08:58.908302,918,2024-09-06 08:22:49.530767,Pela BMTCA,OTHER,,2010,2,2
377,167,3,2114,37892,2,PROCESSED,f,,918,2024-09-02 10:04:21.643989,918,2024-09-09 09:53:06.16775,,,,2010,2,2
376,500,3,1489,37893,15,PROCESSED,f,,918,2024-09-02 10:03:41.170574,918,2024-09-09 09:53:11.681198,,,,2010,2,2
379,36820,3,2275,39342,20,PROCESSED,f,,890,2025-03-18 14:46:09.921922,851,2025-03-20 08:56:25.223545,,,,,4,4
