id,supply_type,payment_date,start_date,end_date,register_bank_id,file_generated,response_read,created_by,created_date,last_modified_by,last_modified_date
93,OTHER,2022-11-14 00:00:00,2022-11-12 21:00:00,2022-11-14 21:00:00,1,t,t,890,2022-11-14 10:32:43.010468,890,2022-11-14 10:32:52.089298
115,OTHER,2022-12-01 00:00:00,2022-11-29 21:00:00,2022-12-01 21:00:00,1,t,t,890,2022-12-01 09:26:32.887742,890,2022-12-01 09:26:53.295751
87,ASSETS,2022-11-10 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-11-10 12:12:53.359538,890,2022-11-10 12:19:48.276159
86,ASSETS,2022-11-10 00:00:00,2022-11-05 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-11-10 10:48:56.512089,890,2022-11-10 11:19:29.351236
75,OTHER,2022-11-07 00:00:00,2022-11-04 21:00:00,2022-11-15 21:00:00,1,t,t,890,2022-11-07 12:23:07.339405,890,2022-11-07 12:26:20.291802
88,ASSETS,2022-11-10 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-11-10 13:43:03.533605,890,2022-11-10 13:44:35.558858
101,OTHER,2022-11-22 00:00:00,2022-11-20 21:00:00,2022-11-23 21:00:00,1,t,t,890,2022-11-22 09:47:38.303935,890,2022-11-22 09:48:05.864125
84,OTHER,2022-11-10 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,1,t,t,890,2022-11-10 08:27:08.229026,890,2022-11-10 08:27:19.719863
82,OTHER,2022-11-09 00:00:00,2022-11-07 21:00:00,2022-11-09 21:00:00,1,t,t,890,2022-11-09 14:33:18.808344,890,2022-11-09 14:33:25.47126
83,OTHER,2022-11-10 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,1,t,t,890,2022-11-10 08:24:42.235851,890,2022-11-10 08:24:54.496681
76,ASSETS,2022-11-07 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-11-07 14:13:58.247044,890,2022-11-07 14:16:12.939059
77,OTHER,2022-11-08 00:00:00,2022-11-06 21:00:00,2022-12-07 21:00:00,1,t,t,890,2022-11-08 08:48:10.663597,890,2022-11-08 08:48:32.226619
78,ASSETS,2022-11-08 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-11-08 10:07:39.643193,890,2022-11-08 10:09:01.536749
94,OTHER,2022-11-14 00:00:00,2022-11-05 21:00:00,2022-11-14 21:00:00,1,t,f,890,2022-11-14 14:32:22.103748,890,2022-11-14 14:32:45.358577
80,ASSETS,2022-11-09 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-11-08 15:12:08.201014,890,2022-11-09 08:37:01.377931
108,OTHER,2022-11-28 00:00:00,2022-11-26 21:00:00,2022-11-28 21:00:00,1,t,t,890,2022-11-28 10:29:51.754054,890,2022-11-28 10:30:09.221387
79,OTHER,2022-11-08 00:00:00,2022-11-06 21:00:00,2022-11-08 21:00:00,1,t,t,890,2022-11-08 10:46:53.076576,890,2022-11-08 10:47:02.599996
102,OTHER,2022-11-23 00:00:00,2022-11-19 21:00:00,2022-12-22 21:00:00,1,t,t,890,2022-11-23 10:19:15.107463,890,2022-11-23 10:19:21.913771
109,OTHER,2022-11-29 00:00:00,2022-11-27 21:00:00,2022-12-29 21:00:00,1,t,t,890,2022-11-29 10:36:19.726477,890,2022-11-29 10:36:37.484494
81,OTHER,2022-11-09 00:00:00,2022-11-07 21:00:00,2022-11-09 21:00:00,1,t,t,890,2022-11-09 09:23:27.065937,890,2022-11-09 09:23:35.703625
103,OTHER,2022-11-23 00:00:00,2022-11-21 21:00:00,2022-11-23 21:00:00,1,t,t,890,2022-11-23 12:41:08.401091,890,2022-11-23 12:41:16.937275
116,OTHER,2022-12-01 00:00:00,2022-11-29 21:00:00,2022-12-12 21:00:00,1,t,t,890,2022-12-01 17:16:55.98869,890,2022-12-01 17:17:03.192383
95,OTHER,2022-11-17 00:00:00,2022-11-15 21:00:00,2022-11-17 21:00:00,1,t,t,890,2022-11-17 10:10:40.58125,890,2022-11-17 10:10:53.498184
96,OTHER,2022-11-18 00:00:00,2022-11-16 21:00:00,2022-11-18 21:00:00,1,t,t,890,2022-11-17 11:35:16.216163,890,2022-11-17 14:35:36.917958
98,OTHER,2022-11-21 00:00:00,2022-11-17 21:00:00,2022-11-21 21:00:00,1,t,t,890,2022-11-21 10:09:39.582293,890,2022-11-21 10:09:59.568263
99,OTHER,2022-11-21 00:00:00,2022-11-19 21:00:00,2022-11-21 21:00:00,2,t,t,890,2022-11-21 11:19:20.852522,890,2022-11-21 11:19:37.620132
85,OTHER,2022-11-10 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,1,t,t,890,2022-11-10 09:57:12.470868,890,2022-11-10 09:58:05.299902
89,OTHER,2022-11-10 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,1,t,t,890,2022-11-10 14:18:52.619348,890,2022-11-10 14:18:59.881585
90,OTHER,2022-11-11 00:00:00,2022-11-09 21:00:00,2022-11-22 21:00:00,1,t,t,890,2022-11-11 12:02:01.431328,890,2022-11-11 12:02:13.284982
97,OTHER,2022-11-18 00:00:00,2022-09-19 21:00:00,2022-11-01 21:00:00,1,t,t,890,2022-11-17 14:31:02.346756,890,2022-11-17 14:36:03.59039
127,OTHER,2022-12-06 00:00:00,2022-12-04 21:00:00,2022-12-06 21:00:00,1,t,t,890,2022-12-06 11:30:14.869696,890,2022-12-06 11:30:21.754283
91,OTHER,2022-11-11 00:00:00,2022-11-09 21:00:00,2022-11-11 21:00:00,1,t,t,890,2022-11-11 13:31:21.494342,890,2022-11-11 13:31:38.846893
122,OTHER,2022-12-05 00:00:00,2022-12-03 21:00:00,2022-12-05 21:00:00,2,t,t,890,2022-12-05 12:56:31.847864,890,2022-12-05 12:56:39.524331
105,OTHER,2022-11-25 00:00:00,2022-11-23 21:00:00,2022-11-25 21:00:00,1,t,t,890,2022-11-25 08:53:12.417807,890,2022-11-25 08:53:22.765347
104,OTHER,2022-11-24 00:00:00,2022-11-06 21:00:00,2022-11-24 21:00:00,1,t,t,890,2022-11-24 09:20:00.25103,890,2022-11-24 09:20:13.13477
