id,data,transaction_id,status,ref
104,,MIGRACAO_208,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
105,,MIGRACAO_210,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
106,,MIGRACAO_212,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
107,,MIGRACAO_214,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
108,,MIGRACAO_216,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
109,,MIGRACAO_218,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
110,,MIGRACAO_220,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
111,,MIGRACAO_222,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
112,,MIGRACAO_224,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
113,,MIGRACAO_226,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
114,,MIGRACAO_228,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
115,,MIGRACAO_230,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
116,,MIGRACAO_232,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
117,,11377511605704594684,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
118,,MIGRACAO_234,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
119,,MIGRACAO_236,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
120,,MIGRACAO_238,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
121,,MIGRACAO_240,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
122,,MIGRACAO_242,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
123,,MIGRACAO_244,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
124,,MIGRACAO_246,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
125,,MIGRACAO_248,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
126,,MIGRACAO_250,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
127,,MIGRACAO_252,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
128,,MIGRACAO_254,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
129,,MIGRACAO_256,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
130,,MIGRACAO_258,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
131,,MIGRACAO_260,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
132,,MIGRACAO_262,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
133,,11810129412717916087,APPROVED,CERTIFICATE_TESOURO_VERDE
134,,5135030665791619371,APPROVED,CERTIFICATE_TESOURO_VERDE
135,,13286285140740159122,APPROVED,CERTIFICATE_TESOURO_VERDE
136,,MIGRACAO_264,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
