id,profile_id,ucs_amount,position,order_book_group_id,created_by,created_date,last_modified_by,last_modified_date,next
2634,858,0,35,85,933,2022-07-15 14:26:03.56332,933,2022-07-15 14:26:03.56332,f
2635,941,0,36,85,933,2022-07-15 14:26:14.243429,933,2022-07-15 14:26:14.243429,f
2264,584,0,4,86,0,2022-07-14 10:42:15.923453,0,2022-07-14 10:42:15.923453,f
620,920,0,57,10,0,2021-12-03 12:01:37.152658,0,2021-12-03 12:01:37.152658,f
621,928,0,58,10,0,2021-12-03 12:01:37.165536,0,2021-12-03 12:01:37.165536,f
622,6,0,1,11,0,2021-12-03 12:01:37.191215,0,2021-12-03 12:01:37.191215,f
624,505,0,3,11,0,2021-12-03 12:01:37.219275,0,2021-12-03 12:01:37.219275,f
648,596,0,27,11,0,2021-12-03 12:01:37.532024,0,2021-12-03 12:01:37.532024,f
649,597,0,28,11,0,2021-12-03 12:01:37.544196,0,2021-12-03 12:01:37.544196,f
650,599,0,29,11,0,2021-12-03 12:01:37.555907,0,2021-12-03 12:01:37.555907,f
651,600,0,30,11,0,2021-12-03 12:01:37.56901,0,2021-12-03 12:01:37.56901,f
652,601,0,31,11,0,2021-12-03 12:01:37.581445,0,2021-12-03 12:01:37.581445,f
653,602,0,32,11,0,2021-12-03 12:01:37.598852,0,2021-12-03 12:01:37.598852,f
654,604,0,33,11,0,2021-12-03 12:01:37.616039,0,2021-12-03 12:01:37.616039,f
655,605,0,34,11,0,2021-12-03 12:01:37.633835,0,2021-12-03 12:01:37.633835,f
660,616,0,39,11,0,2021-12-03 12:01:37.720601,0,2021-12-03 12:01:37.720601,f
661,621,0,40,11,0,2021-12-03 12:01:37.737845,0,2021-12-03 12:01:37.737845,f
662,626,0,41,11,0,2021-12-03 12:01:37.755485,0,2021-12-03 12:01:37.755485,f
663,627,0,42,11,0,2021-12-03 12:01:37.773192,0,2021-12-03 12:01:37.773192,f
664,628,0,43,11,0,2021-12-03 12:01:37.790672,0,2021-12-03 12:01:37.790672,f
665,631,0,44,11,0,2021-12-03 12:01:37.80854,0,2021-12-03 12:01:37.80854,f
667,635,0,46,11,0,2021-12-03 12:01:37.843838,0,2021-12-03 12:01:37.843838,f
669,643,0,48,11,0,2021-12-03 12:01:37.879049,0,2021-12-03 12:01:37.879049,f
670,644,0,49,11,0,2021-12-03 12:01:37.897275,0,2021-12-03 12:01:37.897275,f
671,645,0,50,11,0,2021-12-03 12:01:37.914988,0,2021-12-03 12:01:37.914988,f
672,647,0,51,11,0,2021-12-03 12:01:37.933103,0,2021-12-03 12:01:37.933103,f
673,648,0,52,11,0,2021-12-03 12:01:37.951156,0,2021-12-03 12:01:37.951156,f
674,649,0,53,11,0,2021-12-03 12:01:37.969892,0,2021-12-03 12:01:37.969892,f
675,650,0,54,11,0,2021-12-03 12:01:37.987754,0,2021-12-03 12:01:37.987754,f
680,708,0,59,11,0,2021-12-03 12:01:38.065606,0,2021-12-03 12:01:38.065606,f
681,710,0,60,11,0,2021-12-03 12:01:38.078526,0,2021-12-03 12:01:38.078526,f
698,828,0,61,11,1,2021-12-03 16:44:42.318784,1,2021-12-03 16:44:42.318784,f
699,821,0,62,11,1,2021-12-03 16:45:24.645299,1,2021-12-03 16:45:24.645299,f
693,120,0,1,12,851,2021-12-03 15:33:39.57348,851,2021-12-03 15:33:39.57348,f
2359,724,0,71,86,933,2022-07-14 16:42:23.806971,933,2022-07-14 16:42:23.806971,f
2360,1173,0,72,86,933,2022-07-14 16:42:42.508439,933,2022-07-14 16:42:42.508439,f
3089,528,0,2,171,0,2022-12-13 20:21:46.776854,0,2022-12-13 20:21:46.776854,f
2363,544,0,75,86,933,2022-07-14 16:43:38.734906,933,2022-07-14 16:43:38.734906,f
2364,650,0,76,86,933,2022-07-14 16:43:57.423628,933,2022-07-14 16:43:57.423628,f
3090,644,0,3,171,0,2022-12-13 20:21:46.783315,0,2022-12-13 20:21:46.783315,f
2894,264,0,67,135,0,2022-10-25 15:13:03.917018,0,2022-10-25 15:13:03.917018,f
2895,266,0,68,135,0,2022-10-25 15:13:03.925584,0,2022-10-25 15:13:03.925584,f
2896,270,0,69,135,0,2022-10-25 15:13:03.934655,0,2022-10-25 15:13:03.934655,f
2897,276,0,70,135,0,2022-10-25 15:13:03.943491,0,2022-10-25 15:13:03.943491,f
2898,280,0,71,135,0,2022-10-25 15:13:03.952207,0,2022-10-25 15:13:03.952207,f
2899,284,0,72,135,0,2022-10-25 15:13:03.960449,0,2022-10-25 15:13:03.960449,f
2900,286,0,73,135,0,2022-10-25 15:13:03.968724,0,2022-10-25 15:13:03.968724,f
2901,290,0,74,135,0,2022-10-25 15:13:03.976542,0,2022-10-25 15:13:03.976542,f
3091,597,0,4,171,0,2022-12-13 20:21:46.789837,0,2022-12-13 20:21:46.789837,f
3488,940,0,10,181,0,2022-12-23 18:50:49.119712,0,2022-12-23 18:50:49.119712,f
3489,850,0,11,181,0,2022-12-23 18:50:49.12272,0,2022-12-23 18:50:49.12272,f
3490,920,0,12,181,0,2022-12-23 18:50:49.125746,0,2022-12-23 18:50:49.125746,f
2902,292,0,75,135,0,2022-10-25 15:13:03.984499,0,2022-10-25 15:13:03.984499,f
2903,294,0,76,135,0,2022-10-25 15:13:03.992457,0,2022-10-25 15:13:03.992457,f
3491,1181,0,13,181,0,2022-12-23 18:50:49.12874,0,2022-12-23 18:50:49.12874,f
3492,1109,0,14,181,0,2022-12-23 18:50:49.131794,0,2022-12-23 18:50:49.131794,f
3493,1157,0,15,181,0,2022-12-23 18:50:49.13467,0,2022-12-23 18:50:49.13467,f
3494,1154,0,16,181,0,2022-12-23 18:50:49.137595,0,2022-12-23 18:50:49.137595,f
3495,146,0,1,182,0,2022-12-23 19:00:16.255979,0,2022-12-23 19:00:16.255979,f
3496,286,0,2,182,0,2022-12-23 19:00:16.260463,0,2022-12-23 19:00:16.260463,f
2610,635,0,20,92,933,2022-07-15 10:58:11.760335,933,2022-07-15 10:58:11.760335,f
2265,627,0,5,86,0,2022-07-14 10:42:15.925499,0,2022-07-14 10:42:15.925499,f
2266,710,0,6,86,0,2022-07-14 10:42:15.927631,0,2022-07-14 10:42:15.927631,f
