id,role_user_id,user_id,status,processing_message,reason,description,active,block,area_id,amount,created_by,created_date,last_modified_by,last_modified_date
62,,241,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:44:09.796458,933,2024-06-18 00:31:12.788972
61,,240,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:44:00.260932,933,2024-06-18 00:31:16.997854
60,,239,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:43:49.756597,933,2024-06-18 00:31:21.390529
59,,238,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:43:39.101928,933,2024-06-18 00:31:25.690178
28,,215,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:38:10.667561,933,2024-06-18 00:33:37.686627
106,,5,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 11:45:57.817029,933,2023-03-16 11:45:57.817029
107,,8,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 11:46:55.780559,933,2023-03-16 11:46:55.780559
108,,9,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:47:51.383681,933,2023-03-16 11:47:51.383681
109,,12,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 11:49:04.407533,933,2023-03-16 11:49:04.407533
110,,13,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 11:49:35.800131,933,2023-03-16 11:49:35.800131
111,,15,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:50:29.943814,933,2023-03-16 11:50:29.943814
