id,created_by,created_date,last_modified_by,last_modified_date,role_user_id,start_date,end_date,percentage,role_type,operation_type,active
79,933,2022-09-23 16:47:52.992268,933,2022-09-23 16:47:52.992268,,2022-09-23,,50.0000,PARTNER,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
80,933,2022-09-23 16:47:52.992733,933,2022-09-23 16:47:52.992733,,2022-09-23,,50.0000,PRODUCER,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
81,933,2022-09-23 16:47:52.993419,933,2022-09-23 16:47:52.993419,,2022-09-23,,50.0000,SUPERVISOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
82,933,2022-09-23 16:47:52.993941,933,2022-09-23 16:47:52.993941,,2022-09-23,,50.0000,TI,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
83,933,2022-09-23 16:47:52.994855,933,2022-09-23 16:47:52.994855,,2022-09-23,,50.0000,UNIT,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
84,933,2022-09-23 16:47:52.995686,933,2022-09-23 16:47:52.995686,,2022-09-23,,50.0000,USER_AKSES,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
107,933,2022-09-23 16:49:53.080324,933,2022-09-23 16:49:53.080324,,2022-09-23,,50.0000,ADMIN,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
108,933,2022-09-23 16:49:53.081351,933,2022-09-23 16:49:53.081351,,2022-09-23,,50.0000,ADMINISTRATIVE,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
109,933,2022-09-23 16:49:53.08203,933,2022-09-23 16:49:53.08203,,2022-09-23,,50.0000,ASSOCIATION,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
110,933,2022-09-23 16:49:53.083396,933,2022-09-23 16:49:53.083396,,2022-09-23,,50.0000,AUDIT,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
111,933,2022-09-23 16:49:53.084276,933,2022-09-23 16:49:53.084276,,2022-09-23,,50.0000,CREDENTIALED_DISTRIBUTOR,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
112,933,2022-09-23 16:49:53.084865,933,2022-09-23 16:49:53.084865,,2022-09-23,,50.0000,CUSTOMER,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
113,933,2022-09-23 16:49:53.085819,933,2022-09-23 16:49:53.085819,,2022-09-23,,50.0000,DIRECTOR,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
114,933,2022-09-23 16:49:53.086709,933,2022-09-23 16:49:53.086709,,2022-09-23,,50.0000,FINANCIAL,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
115,933,2022-09-23 16:49:53.087205,933,2022-09-23 16:49:53.087205,,2022-09-23,,50.0000,FINANCIAL_DISTRIBUTOR,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
116,933,2022-09-23 16:49:53.087762,933,2022-09-23 16:49:53.087762,,2022-09-23,,50.0000,GENERAL_DISTRIBUTOR,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
117,933,2022-09-23 16:49:53.088434,933,2022-09-23 16:49:53.088434,,2022-09-23,,50.0000,GEO,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
118,933,2022-09-23 16:49:53.089215,933,2022-09-23 16:49:53.089215,,2022-09-23,,50.0000,IMEI,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
119,933,2022-09-23 16:49:53.089678,933,2022-09-23 16:49:53.089678,,2022-09-23,,50.0000,LAW_DEPARTMENT,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
120,933,2022-09-23 16:49:53.090404,933,2022-09-23 16:49:53.090404,,2022-09-23,,50.0000,MASTER,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
121,933,2022-09-23 16:49:53.090845,933,2022-09-23 16:49:53.090845,,2022-09-23,,50.0000,OPERATOR,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
122,933,2022-09-23 16:49:53.091463,933,2022-09-23 16:49:53.091463,,2022-09-23,,50.0000,PARTNER,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
123,933,2022-09-23 16:49:53.091926,933,2022-09-23 16:49:53.091926,,2022-09-23,,50.0000,PRODUCER,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
124,933,2022-09-23 16:49:53.092398,933,2022-09-23 16:49:53.092398,,2022-09-23,,50.0000,SUPERVISOR,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
125,933,2022-09-23 16:49:53.092972,933,2022-09-23 16:49:53.092972,,2022-09-23,,50.0000,TI,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
126,933,2022-09-23 16:49:53.093451,933,2022-09-23 16:49:53.093451,,2022-09-23,,50.0000,UNIT,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
127,933,2022-09-23 16:49:53.093907,933,2022-09-23 16:49:53.093907,,2022-09-23,,50.0000,USER_AKSES,AKSES_DISTRIBUTOR_FINANCIAL_ORDER,t
128,933,2022-09-23 16:51:11.755269,933,2022-09-23 16:51:11.755269,1235,2022-09-23,,1.0000,CUSTOMER,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f
129,933,2022-09-26 14:59:30.09228,933,2022-09-26 14:59:30.09228,668,2022-09-26,2022-09-30,100.0000,CUSTOMER,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f
85,933,2022-09-23 16:49:02.601544,933,2022-09-23 16:49:02.601544,,2022-09-23,,50.0000,ADMIN,TESOURO_VERDE_CERTIFICATE_ORDER,f
86,933,2022-09-23 16:49:02.608541,933,2022-09-23 16:49:02.608541,,2022-09-23,,50.0000,ADMINISTRATIVE,TESOURO_VERDE_CERTIFICATE_ORDER,f
87,933,2022-09-23 16:49:02.609505,933,2022-09-23 16:49:02.609505,,2022-09-23,,50.0000,ASSOCIATION,TESOURO_VERDE_CERTIFICATE_ORDER,f
88,933,2022-09-23 16:49:02.610064,933,2022-09-23 16:49:02.610064,,2022-09-23,,50.0000,AUDIT,TESOURO_VERDE_CERTIFICATE_ORDER,f
89,933,2022-09-23 16:49:02.610925,933,2022-09-23 16:49:02.610925,,2022-09-23,,50.0000,CREDENTIALED_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
90,933,2022-09-23 16:49:02.612222,933,2022-09-23 16:49:02.612222,,2022-09-23,,50.0000,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,f
91,933,2022-09-23 16:49:02.612847,933,2022-09-23 16:49:02.612847,,2022-09-23,,50.0000,DIRECTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
92,933,2022-09-23 16:49:02.613397,933,2022-09-23 16:49:02.613397,,2022-09-23,,50.0000,FINANCIAL,TESOURO_VERDE_CERTIFICATE_ORDER,f
93,933,2022-09-23 16:49:02.613876,933,2022-09-23 16:49:02.613876,,2022-09-23,,50.0000,FINANCIAL_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
94,933,2022-09-23 16:49:02.614407,933,2022-09-23 16:49:02.614407,,2022-09-23,,50.0000,GENERAL_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
95,933,2022-09-23 16:49:02.61504,933,2022-09-23 16:49:02.61504,,2022-09-23,,50.0000,GEO,TESOURO_VERDE_CERTIFICATE_ORDER,f
96,933,2022-09-23 16:49:02.615787,933,2022-09-23 16:49:02.615787,,2022-09-23,,50.0000,GOV,TESOURO_VERDE_CERTIFICATE_ORDER,f
97,933,2022-09-23 16:49:02.616399,933,2022-09-23 16:49:02.616399,,2022-09-23,,50.0000,IMEI,TESOURO_VERDE_CERTIFICATE_ORDER,f
98,933,2022-09-23 16:49:02.616853,933,2022-09-23 16:49:02.616853,,2022-09-23,,50.0000,LAW_DEPARTMENT,TESOURO_VERDE_CERTIFICATE_ORDER,f
99,933,2022-09-23 16:49:02.617374,933,2022-09-23 16:49:02.617374,,2022-09-23,,50.0000,MASTER,TESOURO_VERDE_CERTIFICATE_ORDER,f
100,933,2022-09-23 16:49:02.617833,933,2022-09-23 16:49:02.617833,,2022-09-23,,50.0000,OPERATOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
101,933,2022-09-23 16:49:02.618325,933,2022-09-23 16:49:02.618325,,2022-09-23,,50.0000,PARTNER,TESOURO_VERDE_CERTIFICATE_ORDER,f
102,933,2022-09-23 16:49:02.618793,933,2022-09-23 16:49:02.618793,,2022-09-23,,50.0000,PRODUCER,TESOURO_VERDE_CERTIFICATE_ORDER,f
103,933,2022-09-23 16:49:02.619363,933,2022-09-23 16:49:02.619363,,2022-09-23,,50.0000,SUPERVISOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
104,933,2022-09-23 16:49:02.620006,933,2022-09-23 16:49:02.620006,,2022-09-23,,50.0000,TI,TESOURO_VERDE_CERTIFICATE_ORDER,f
105,933,2022-09-23 16:49:02.620803,933,2022-09-23 16:49:02.620803,,2022-09-23,,50.0000,UNIT,TESOURO_VERDE_CERTIFICATE_ORDER,f
106,933,2022-09-23 16:49:02.621569,933,2022-09-23 16:49:02.621569,,2022-09-23,,50.0000,USER_AKSES,TESOURO_VERDE_CERTIFICATE_ORDER,f
136,933,2022-09-30 08:25:34.092845,933,2022-09-30 08:25:34.092845,,2022-09-30,,50.0000,DIRECTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
130,933,2022-09-30 08:25:34.087565,933,2022-09-30 08:25:34.087565,,2022-09-30,,50.0000,ADMIN,TESOURO_VERDE_CERTIFICATE_ORDER,f
131,933,2022-09-30 08:25:34.08849,933,2022-09-30 08:25:34.08849,,2022-09-30,,50.0000,ADMINISTRATIVE,TESOURO_VERDE_CERTIFICATE_ORDER,f
132,933,2022-09-30 08:25:34.08955,933,2022-09-30 08:25:34.08955,,2022-09-30,,50.0000,ASSOCIATION,TESOURO_VERDE_CERTIFICATE_ORDER,f
133,933,2022-09-30 08:25:34.09029,933,2022-09-30 08:25:34.09029,,2022-09-30,,50.0000,AUDIT,TESOURO_VERDE_CERTIFICATE_ORDER,f
134,933,2022-09-30 08:25:34.091145,933,2022-09-30 08:25:34.091145,,2022-09-30,,50.0000,CREDENTIALED_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
135,933,2022-09-30 08:25:34.091915,933,2022-09-30 08:25:34.091915,,2022-09-30,,50.0000,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,f
137,933,2022-09-30 08:25:34.093224,933,2022-09-30 08:25:34.093224,,2022-09-30,,50.0000,FINANCIAL,TESOURO_VERDE_CERTIFICATE_ORDER,f
138,933,2022-09-30 08:25:34.093663,933,2022-09-30 08:25:34.093663,,2022-09-30,,50.0000,FINANCIAL_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
139,933,2022-09-30 08:25:34.094002,933,2022-09-30 08:25:34.094002,,2022-09-30,,50.0000,GENERAL_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
140,933,2022-09-30 08:25:34.094325,933,2022-09-30 08:25:34.094325,,2022-09-30,,50.0000,GEO,TESOURO_VERDE_CERTIFICATE_ORDER,f
141,933,2022-09-30 08:25:34.09496,933,2022-09-30 08:25:34.09496,,2022-09-30,,50.0000,GOV,TESOURO_VERDE_CERTIFICATE_ORDER,f
142,933,2022-09-30 08:25:34.095744,933,2022-09-30 08:25:34.095744,,2022-09-30,,50.0000,IMEI,TESOURO_VERDE_CERTIFICATE_ORDER,f
143,933,2022-09-30 08:25:34.096087,933,2022-09-30 08:25:34.096087,,2022-09-30,,50.0000,LAW_DEPARTMENT,TESOURO_VERDE_CERTIFICATE_ORDER,f
144,933,2022-09-30 08:25:34.096441,933,2022-09-30 08:25:34.096441,,2022-09-30,,50.0000,MASTER,TESOURO_VERDE_CERTIFICATE_ORDER,f
145,933,2022-09-30 08:25:34.096958,933,2022-09-30 08:25:34.096958,,2022-09-30,,50.0000,OPERATOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
146,933,2022-09-30 08:25:34.097327,933,2022-09-30 08:25:34.097327,,2022-09-30,,50.0000,PARTNER,TESOURO_VERDE_CERTIFICATE_ORDER,f
147,933,2022-09-30 08:25:34.097709,933,2022-09-30 08:25:34.097709,,2022-09-30,,50.0000,PRODUCER,TESOURO_VERDE_CERTIFICATE_ORDER,f
148,933,2022-09-30 08:25:34.098247,933,2022-09-30 08:25:34.098247,,2022-09-30,,50.0000,SUPERVISOR,TESOURO_VERDE_CERTIFICATE_ORDER,f
149,933,2022-09-30 08:25:34.098683,933,2022-09-30 08:25:34.098683,,2022-09-30,,50.0000,TI,TESOURO_VERDE_CERTIFICATE_ORDER,f
150,933,2022-09-30 08:25:34.099147,933,2022-09-30 08:25:34.099147,,2022-09-30,,50.0000,UNIT,TESOURO_VERDE_CERTIFICATE_ORDER,f
151,933,2022-09-30 08:25:34.099562,933,2022-09-30 08:25:34.099562,,2022-09-30,,50.0000,USER_AKSES,TESOURO_VERDE_CERTIFICATE_ORDER,f
154,933,2022-10-07 16:41:52.808988,933,2022-10-07 16:41:52.808988,,2022-10-07,,50.0000,ADMIN,TESOURO_VERDE_CERTIFICATE_ORDER,t
155,933,2022-10-07 16:41:52.810572,933,2022-10-07 16:41:52.810572,,2022-10-07,,50.0000,ADMINISTRATIVE,TESOURO_VERDE_CERTIFICATE_ORDER,t
156,933,2022-10-07 16:41:52.812577,933,2022-10-07 16:41:52.812577,,2022-10-07,,50.0000,ASSOCIATION,TESOURO_VERDE_CERTIFICATE_ORDER,t
157,933,2022-10-07 16:41:52.813599,933,2022-10-07 16:41:52.813599,,2022-10-07,,50.0000,AUDIT,TESOURO_VERDE_CERTIFICATE_ORDER,t
158,933,2022-10-07 16:41:52.815632,933,2022-10-07 16:41:52.815632,,2022-10-07,,50.0000,CREDENTIALED_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,t
159,933,2022-10-07 16:41:52.816965,933,2022-10-07 16:41:52.816965,,2022-10-07,,50.0000,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t
160,933,2022-10-07 16:41:52.818598,933,2022-10-07 16:41:52.818598,,2022-10-07,,50.0000,DIRECTOR,TESOURO_VERDE_CERTIFICATE_ORDER,t
161,933,2022-10-07 16:41:52.820034,933,2022-10-07 16:41:52.820034,,2022-10-07,,50.0000,FINANCIAL,TESOURO_VERDE_CERTIFICATE_ORDER,t
162,933,2022-10-07 16:41:52.821675,933,2022-10-07 16:41:52.821675,,2022-10-07,,50.0000,FINANCIAL_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,t
163,933,2022-10-07 16:41:52.823159,933,2022-10-07 16:41:52.823159,,2022-10-07,,50.0000,GENERAL_DISTRIBUTOR,TESOURO_VERDE_CERTIFICATE_ORDER,t
164,933,2022-10-07 16:41:52.824211,933,2022-10-07 16:41:52.824211,,2022-10-07,,50.0000,GEO,TESOURO_VERDE_CERTIFICATE_ORDER,t
165,933,2022-10-07 16:41:52.825273,933,2022-10-07 16:41:52.825273,,2022-10-07,,100.0000,GOV,TESOURO_VERDE_CERTIFICATE_ORDER,t
166,933,2022-10-07 16:41:52.826178,933,2022-10-07 16:41:52.826178,,2022-10-07,,50.0000,IMEI,TESOURO_VERDE_CERTIFICATE_ORDER,t
167,933,2022-10-07 16:41:52.827467,933,2022-10-07 16:41:52.827467,,2022-10-07,,50.0000,LAW_DEPARTMENT,TESOURO_VERDE_CERTIFICATE_ORDER,t
168,933,2022-10-07 16:41:52.828453,933,2022-10-07 16:41:52.828453,,2022-10-07,,50.0000,MASTER,TESOURO_VERDE_CERTIFICATE_ORDER,t
169,933,2022-10-07 16:41:52.829219,933,2022-10-07 16:41:52.829219,,2022-10-07,,50.0000,OPERATOR,TESOURO_VERDE_CERTIFICATE_ORDER,t
170,933,2022-10-07 16:41:52.829961,933,2022-10-07 16:41:52.829961,,2022-10-07,,50.0000,PARTNER,TESOURO_VERDE_CERTIFICATE_ORDER,t
171,933,2022-10-07 16:41:52.830715,933,2022-10-07 16:41:52.830715,,2022-10-07,,50.0000,PRODUCER,TESOURO_VERDE_CERTIFICATE_ORDER,t
172,933,2022-10-07 16:41:52.831866,933,2022-10-07 16:41:52.831866,,2022-10-07,,50.0000,SUPERVISOR,TESOURO_VERDE_CERTIFICATE_ORDER,t
173,933,2022-10-07 16:41:52.832873,933,2022-10-07 16:41:52.832873,,2022-10-07,,50.0000,TI,TESOURO_VERDE_CERTIFICATE_ORDER,t
174,933,2022-10-07 16:41:52.833663,933,2022-10-07 16:41:52.833663,,2022-10-07,,50.0000,UNIT,TESOURO_VERDE_CERTIFICATE_ORDER,t
175,933,2022-10-07 16:41:52.834405,933,2022-10-07 16:41:52.834405,,2022-10-07,,50.0000,USER_AKSES,TESOURO_VERDE_CERTIFICATE_ORDER,t
1,933,2022-09-23 16:44:52.228806,933,2022-09-23 16:44:52.228806,,2022-09-23,,50.0000,ADMIN,AKSES_PURCHASE_ORDER,f
2,933,2022-09-23 16:44:52.230131,933,2022-09-23 16:44:52.230131,,2022-09-23,,50.0000,ADMINISTRATIVE,AKSES_PURCHASE_ORDER,f
