id,platform_workflow_configuration_id,recipient_platform_id,status,created_by,created_date,last_modified_by,last_modified_date
68,42,4,DELETED,933,2024-07-04 16:29:46.747224,933,2024-07-04 16:29:46.747224
69,43,4,DELETED,933,2024-07-04 16:31:46.53819,933,2024-07-04 16:31:46.53819
70,44,4,DELETED,933,2024-07-04 16:33:08.103374,933,2024-07-04 16:33:08.103374
71,44,3,ACTIVE,933,2024-07-04 16:35:06.910381,933,2024-07-04 16:35:06.910381
72,45,4,ACTIVE,933,2024-07-04 16:35:10.992345,933,2024-07-04 16:35:10.992345
73,46,3,ACTIVE,933,2024-07-04 16:39:31.822584,933,2024-07-04 16:39:31.822584
74,47,3,ACTIVE,933,2024-07-04 16:39:34.136031,933,2024-07-04 16:39:34.136031
75,48,4,ACTIVE,933,2024-07-04 16:39:40.200652,933,2024-07-04 16:39:40.200652
76,49,3,ACTIVE,933,2024-07-04 16:43:51.691628,933,2024-07-04 16:43:51.691628
77,50,4,ACTIVE,933,2024-07-10 15:28:39.226238,933,2024-07-10 15:28:39.226238
78,27,4,ACTIVE,933,2024-08-22 11:45:15.974279,933,2024-08-22 11:45:15.974279
1,1,2,DELETED,933,2023-09-04 10:43:01.608038,933,2023-09-04 10:43:01.608038
79,1,2,ACTIVE,933,2024-09-10 13:23:19.421903,933,2024-09-10 13:23:19.421903
45,17,7,DELETED,933,2023-11-09 10:54:08.258783,933,2023-11-09 10:54:08.258783
80,17,7,ACTIVE,933,2024-09-23 10:28:23.232411,933,2024-09-23 10:28:23.232411
81,17,1,DELETED,933,2024-10-11 10:33:24.981548,933,2024-10-11 10:33:24.981548
83,53,4,ACTIVE,933,2024-10-11 10:54:07.777186,933,2024-10-11 10:54:07.777186
82,21,1,DELETED,933,2024-10-11 10:38:38.875201,933,2024-10-11 10:38:38.875201
