id,account_code,parent_account,description,report_shows_number,reducing_account,created_by,created_date,last_modified_by,last_modified_date
135,4.17.2,133,(-) ESTADUAIS,t,t,1339,2022-09-16 16:08:24.038357,1339,2022-09-28 17:27:45.868837
136,4.17.3,133,(-) MUNICIPAIS,t,t,1339,2022-09-16 16:08:49.700795,1339,2022-09-28 17:28:07.427819
137,4.17.4,133,(-) TAXAS DIVERSAS,t,t,1339,2022-09-16 16:09:26.022393,1339,2022-09-28 17:28:22.902988
140,5.1,139,(-) EMPRÉSTIMOS,t,t,1339,2022-09-16 16:11:08.740298,1339,2022-09-28 17:30:12.249257
143,5.1.3,140,(-) OUTROS EMPRÉSTIMO A RECEBER,t,t,1339,2022-09-16 16:12:48.396717,933,2022-09-30 11:40:12.982077
141,5.2,139,(-) DESPESAS FINANCEIRAS,t,t,1339,2022-09-16 16:11:37.57844,1339,2022-09-28 17:31:35.329982
122,4.13.2,120,(-) COLABORADORES (PREMIAÇÃO/BÔNUS),t,t,1339,2022-09-16 15:57:49.187283,933,2022-09-30 11:37:47.372224
120,4.13,32,(-) PREMIAÇÃO/BÔNUS,t,t,1339,2022-09-16 15:56:36.426836,1339,2022-09-30 11:40:51.142751
155,5.3,139,(-) ENDIVIDAMENTO,t,t,1339,2022-09-16 16:24:22.683893,1339,2022-09-16 16:24:22.683893
151,5.2.8,141,(-) POUPANÇA,t,t,1339,2022-09-16 16:21:38.032871,933,2022-09-30 11:42:16.543365
160,6,,(-) INVESTIMENTOS,t,t,1339,2022-09-16 16:27:16.815453,1339,2022-09-16 16:27:16.815453
161,6.1,160,(-) APORTES,t,t,1339,2022-09-16 16:27:45.942418,1339,2022-09-16 16:27:45.942418
164,6.2,160,(-) ANTECIPAÇÃO A PARCEIROS (ADIANT° PARCEIROS MENSAIS),t,t,1339,2022-09-16 16:29:44.222951,1339,2022-09-16 16:29:44.222951
165,6.3,160,"(-) AQUISIÇÃO UCS (PRODUTORES, PARCEIROS, TERCEIROS)",t,t,1339,2022-09-16 16:31:31.419055,1339,2022-09-16 16:31:31.419055
166,6.4,160,(-) OUTROS INVESTIMENTOS,t,t,1339,2022-09-16 16:32:01.233315,1339,2022-09-16 16:32:01.233315
177,7,,(-) TRANSFERÊNCIAS INTERNAS,t,t,1339,2022-09-16 16:47:57.362153,1339,2022-09-16 16:47:57.362153
178,7.1,177,(-) BMTCA,t,t,1339,2022-09-16 16:48:16.197785,1339,2022-09-16 16:48:16.197785
179,7.2,177,(-) IMEI,t,t,1339,2022-09-16 16:48:37.210554,1339,2022-09-16 16:48:37.210554
180,7.3,177,(-) ASCOPLAN,t,t,1339,2022-09-16 16:49:03.906811,1339,2022-09-16 16:49:03.906811
181,7.4,177,(-) AUS,t,t,1339,2022-09-16 16:49:23.702865,1339,2022-09-16 16:49:23.702865
182,7.5,177,(-) BMV PORTUGAL,t,t,1339,2022-09-16 16:49:48.624662,1339,2022-09-16 16:49:48.624662
183,7.6,177,(-) AKSES,t,t,1339,2022-09-16 16:50:07.108545,1339,2022-09-16 16:50:07.108545
184,7.7,177,(-) OUTRAS,t,t,1339,2022-09-16 16:50:35.22717,1339,2022-09-16 16:50:35.22717
185,4.14,32,(-) Cartão de Crédito - Coorporativo,t,t,890,2022-09-22 15:26:32.285999,890,2022-09-22 15:26:32.285999
149,5.2.6,141,(-) IMPOSTOS S/ APLICAÇÃO,t,t,1339,2022-09-16 16:19:23.250274,1339,2022-09-30 11:42:23.504508
3,1.1.1,2,PROJETOS / ORIGINAÇÃO ,t,f,890,2022-09-15 16:45:36.294821,1339,2022-09-28 15:43:55.204705
13,1.1.3,2,CONSULTORIAS/ACESSORIAS,t,f,1339,2022-09-15 17:05:55.513822,1339,2022-09-28 15:54:10.103862
73,4.4.1,72,(-) ÁGUA E ESGOTO,t,t,1339,2022-09-16 14:43:14.793265,1339,2022-09-28 16:40:40.035625
75,4.4.3,72,(-) ASSOCIAÇÕES / ENTIDADES DE CLASSE,t,t,1339,2022-09-16 14:44:54.040592,1339,2022-09-28 16:41:12.102527
111,4.11.2,109,"(-) VIAGENS DIRETORIA (PEDÁGIOS, PASSAGENS, ESTADIAS, ALIMENTAÇÃO, SEM PARAR)",t,t,1339,2022-09-16 15:48:00.372626,1339,2022-09-28 17:10:02.512987
