id,endpoint_id,permission_id,created_by,created_date,last_modified_by,last_modified_date
8410,7568,325,,,,
8411,7569,82,,,,
8412,7570,83,,,,
8413,7571,86,,,,
8414,7572,85,,,,
8415,7573,85,,,,
8416,7574,87,,,,
8417,7575,84,,,,
8418,7576,83,,,,
8419,7576,85,,,,
8420,7577,139,,,,
8421,7578,140,,,,
8422,7578,142,,,,
8423,7579,140,,,,
8424,7579,142,,,,
8425,7580,140,,,,
8426,7580,142,,,,
8427,7581,144,,,,
8428,7582,141,,,,
8429,7583,143,,,,
8430,7584,62,,,,
8431,7585,63,,,,
8432,7585,65,,,,
8433,7586,63,,,,
8434,7586,65,,,,
8435,7587,63,,,,
8436,7587,65,,,,
8437,7588,63,,,,
8438,7588,65,,,,
8439,7589,64,,,,
8440,7590,62,,,,
8441,7590,66,,,,
8442,7591,62,,,,
8443,7591,66,,,,
8444,7593,89,,,,
8445,7594,89,,,,
8446,7595,150,,,,
8447,7596,151,,,,
8448,7597,150,,,,
8449,7599,12,,,,
8450,7600,15,,,,
8451,7601,15,,,,
8452,7602,14,,,,
8453,7603,12,,,,
8454,7604,314,,,,
8455,7605,323,,,,
8456,7606,37,,,,
8457,7607,38,,,,
8458,7607,40,,,,
8459,7608,38,,,,
8460,7608,40,,,,
8461,7609,38,,,,
8462,7609,40,,,,
8463,7610,39,,,,
8464,7611,41,,,,
8465,7612,38,,,,
8466,7612,40,,,,
8467,7613,38,,,,
8468,7613,40,,,,
8469,7614,152,,,,
8470,7615,153,,,,
8471,7616,153,,,,
8472,7617,153,,,,
8473,7618,152,,,,
8474,7619,152,,,,
8475,7620,152,,,,
8476,7621,136,,,,
8477,7622,137,,,,
8478,7623,137,,,,
8479,7623,138,,,,
8480,7624,136,,,,
8481,7625,138,,,,
8482,7626,122,,,,
8483,7627,123,,,,
8484,7628,123,,,,
8485,7629,123,,,,
8486,7630,101,,,,
8487,7630,100,,,,
8488,7630,103,,,,
8489,7631,101,,,,
8490,7631,103,,,,
8491,7632,105,,,,
8492,7633,106,,,,
8493,7634,106,,,,
8494,7635,106,,,,
8495,7636,104,,,,
8496,7637,107,,,,
8497,7637,104,,,,
8498,7638,104,,,,
8499,7639,108,,,,
8500,7640,108,,,,
8501,7641,108,,,,
8502,7642,108,,,,
8503,7643,107,,,,
8504,7644,109,,,,
